FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 42 004,Fiabilidad de la inversión para cada partición del espectro de olas de mar de fondo,0,Dirección de ola resuelta,,,,,
0 42 004,Fiabilidad de la inversión para cada partición del espectro de olas de mar de fondo,1,Ambigüedad de 180 grados no resuelta,,,,,
0 42 004,Fiabilidad de la inversión para cada partición del espectro de olas de mar de fondo,2-14,Reservadas,,,,,
0 42 004,Fiabilidad de la inversión para cada partición del espectro de olas de mar de fondo,15,Faltante,,,,,
