TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 20 136,Tipo de nubes suplementario,23,"Montañas despejadas del lado del observador (solo pequeñas cantidades de nubes presentes), pero con una masa continua de nubes en la vertiente opuesta",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,24,"Nubes bajas sobre las montañas, pero todas las laderas y montañas despejadas (solo pequeñas cantidades de nubes en las laderas)",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,25,"Nubes bajas sobre las montañas, cumbres parcialmente cubiertas de estelas de precipitación o nubes",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,26,"Todas las cumbres cubiertas, pero las vaguadas despejadas, y las laderas despejadas o cubiertas",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,27,"Montañas generalmente cubiertas, con algunas cumbres despejadas y las laderas total o parcialmente cubiertas",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,28,"Todas las cumbres, vaguadas y laderas cubiertas",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,29,"No es posible ver las montañas debido a la oscuridad, a la niebla, a tempestades de nieve, a la precipitación, etc.",Condiciones de nubosidad sobre montañas y vaguadas (Nm - Tabla de cifrado 2745)
0 20 136,Tipo de nubes suplementario,30-34,Reservadas,
0 20 136,Tipo de nubes suplementario,35,Estelas de condensación no persistentes,Estelas de condensación (Nť – Tabla de cifrado 2752)
0 20 136,Tipo de nubes suplementario,36,Estelas de condensación persistentes cubriendo menos de 1/8 del cielo,Estelas de condensación (Nť – Tabla de cifrado 2752)
0 20 136,Tipo de nubes suplementario,37,Estelas de condensación persistentes cubriendo 1/8 del cielo,Estelas de condensación (Nť – Tabla de cifrado 2752)
0 20 136,Tipo de nubes suplementario,38,Estelas de condensación persistentes cubriendo 2/8 del cielo,Estelas de condensación (Nť – Tabla de cifrado 2752)
0 20 136,Tipo de nubes suplementario,39,Estelas de condensación persistentes cubriendo 3/8 o más del cielo,Estelas de condensación (Nť – Tabla de cifrado 2752)
0 20 136,Tipo de nubes suplementario,40,Ausencia de nubes o neblina,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,41,Neblina bajo cielos despejados,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,42,Niebla fragmentaria,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,43,Capa de niebla tenue,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,44,Capa de niebla espesa,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,45,Algunas nubes aisladas,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,46,Nubes aisladas y niebla a menor nivel,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,47,Numerosas nubes aisladas,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,48,Mar de nubes,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,49,Mala visibilidad oscureciendo la visión descendente,Condiciones de nubosidad observadas desde un nivel superior (Nv - Tabla de cifrado 2754)
0 20 136,Tipo de nubes suplementario,50-510,Reservadas,
0 20 136,Tipo de nubes suplementario,511,Valor faltante,
0 20 137,Evolución de las nubes,0,Sin cambios,
0 20 137,Evolución de las nubes,1,Cumulificación,
0 20 137,Evolución de las nubes,2,Elevación lenta,
0 20 137,Evolución de las nubes,3,Elevación rápida,
0 20 137,Evolución de las nubes,4,Elevación y estratificación,
0 20 137,Evolución de las nubes,5,Descenso lento,
0 20 137,Evolución de las nubes,6,Descenso rápido,
0 20 137,Evolución de las nubes,7,Estratificación,
0 20 137,Evolución de las nubes,8,Estratificación y descenso,
0 20 137,Evolución de las nubes,9,Cambios rápidos,
0 20 137,Evolución de las nubes,10-14,Reservadas,
0 20 137,Evolución de las nubes,15,Valor faltante,
0 20 138,Condición de la superficie de la carretera,0,Seca,
0 20 138,Condición de la superficie de la carretera,1,Húmeda,
0 20 138,Condición de la superficie de la carretera,2,Mojada,
0 20 138,Condición de la superficie de la carretera,3,Cencellada blanca,
0 20 138,Condición de la superficie de la carretera,4,Nieve,
0 20 138,Condición de la superficie de la carretera,5,Hielo,
0 20 138,Condición de la superficie de la carretera,6,Hielo liso,
0 20 138,Condición de la superficie de la carretera,7,No seca,
0 20 138,Condición de la superficie de la carretera,8-14,Reservadas,
0 20 138,Condición de la superficie de la carretera,15,Valor faltante,
