FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 29 001,Tipo de proyección,0,Proyección gnomónica,,,,,
0 29 001,Tipo de proyección,1,Proyección estereográfica polar,,,,,
0 29 001,Tipo de proyección,2,Proyección cónica de Lambert,,,,,
0 29 001,Tipo de proyección,3,Proyección de Mercator,,,,,
0 29 001,Tipo de proyección,4,Cono de barrido (radar),,,El tipo de proyección 4 indica una retícula cartesiana situada directamente en el cono de exploración definido por el barrido azimutal del radar.,,
0 29 001,Tipo de proyección,5,Reservada,,,,,
0 29 001,Tipo de proyección,6,Sin proyección,,,,,
0 29 001,Tipo de proyección,7,Valor faltante,,,,,
0 29 002,Tipo de retícula de coordenadas,0,Cartesiana,,,,,
0 29 002,Tipo de retícula de coordenadas,1,Polar,,,,,
0 29 002,Tipo de retícula de coordenadas,2,De otro tipo,,,,,
0 29 002,Tipo de retícula de coordenadas,3-6,Reservadas,,,,,
0 29 002,Tipo de retícula de coordenadas,7,Valor faltante,,,,,
