FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 30 031,Tipo de imagen,0,PPI,,,,,
0 30 031,Tipo de imagen,1,Compuesta,,,,,
0 30 031,Tipo de imagen,2,CAPPI,,,,,
0 30 031,Tipo de imagen,3,Sección vertical,,,,,
0 30 031,Tipo de imagen,4,Datos alfanuméricos,,,,,
0 30 031,Tipo de imagen,5,Mapa de ecos parásitos,,,,,
0 30 031,Tipo de imagen,6,Mapa,,,,,
0 30 031,Tipo de imagen,7,Imagen de prueba,,,,,
0 30 031,Tipo de imagen,8,Comentarios,,,,,
0 30 031,Tipo de imagen,9,Carta de ocultación del suelo,,,,,
0 30 031,Tipo de imagen,10,Carta de la altura del haz de radar,,,,,
0 30 031,Tipo de imagen,11-13,Reservadas,,,,,
0 30 031,Tipo de imagen,14,Otros datos,,,,,
0 30 031,Tipo de imagen,15,Valor faltante,,,,,
0 30 032,Combinación con otros datos,1,Mapa,,,,,
0 30 032,Combinación con otros datos,2,Datos satelitales en infrarrojo,,,,,
0 30 032,Combinación con otros datos,3,Datos satelitales en el espectro visible,,,,,
0 30 032,Combinación con otros datos,4,Datos satelitales en las bandas de la absorción del vapor de agua,,,,,
0 30 032,Combinación con otros datos,5,Datos satelitales multiespectrales,,,,,
0 30 032,Combinación con otros datos,6,Observaciones sinópticas,,,,,
0 30 032,Combinación con otros datos,7,Parámetros previstos,,,,,
0 30 032,Combinación con otros datos,8,Datos sobre descargas eléctricas,,,,,
0 30 032,Combinación con otros datos,9-14,Reservadas,,,,,
0 30 032,Combinación con otros datos,15,Otros datos,,,,,
0 30 032,Combinación con otros datos,16,Valor faltante,,,,,
