FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
004059,Horas de observación utilizadas para calcular los valores medios notificados,1,0000 UTC,,,None,,Operational
004059,Horas de observación utilizadas para calcular los valores medios notificados,2,0600 UTC,,,None,,Operational
004059,Horas de observación utilizadas para calcular los valores medios notificados,3,1200 UTC,,,None,,Operational
004059,Horas de observación utilizadas para calcular los valores medios notificados,4,1800 UTC,,,None,,Operational
004059,Horas de observación utilizadas para calcular los valores medios notificados,5,Otras horas,,,None,,Operational
004059,Horas de observación utilizadas para calcular los valores medios notificados,Todos los 6,Valor faltante,,,None,,Operational
004080,Período de premediación para el valor siguiente,0,Valores inmediatos,,,None,,Operational
004080,Período de premediación para el valor siguiente,1,Menos de 15 min,,,None,,Operational
004080,Período de premediación para el valor siguiente,2,De 15 a 45 min,,,None,,Operational
004080,Período de premediación para el valor siguiente,3,Más de 45 min,,,None,,Operational
004080,Período de premediación para el valor siguiente,4-8,Reservadas,,,None,,Operational
004080,Período de premediación para el valor siguiente,9,Datos no disponibles,,,None,,Operational
004080,Período de premediación para el valor siguiente,10-14,No utilizadas,,,None,,Operational
004080,Período de premediación para el valor siguiente,15,Valor faltante,,,None,,Operational
