row #,tables,category,FXY,code figure,note (github),note id,note (manual),note applies to,my comment
1491,Code Flag Tables for BUFRCREX Table B,33,033075,4,(see Note 2),2,"These temperatures are used to compute the ""environmental"" contribution to the internal calibration target(ICT) radiances. When this bit is set to 1, the invalid temperatures shall be replaced with the validated temperature values of the ICT.",code,
1492,Code Flag Tables for BUFRCREX Table B,33,033076,1,(see Note),no id,Set to 1 if at least one spectrum in the deep space moving average was invalidated due to a lunar intrusion.,code,
1493,Code Flag Tables for BUFRCREX Table B,33,033076,2,(see Note),no id,Set to 1 if at least one spectrum in the deep space moving average was invalidated due to a lunar intrusion.,code,
1494,Code Flag Tables for BUFRCREX Table B,33,033077,SDR*,n/a,*,SDR = Sensor data record,word,
1495,Code Flag Tables for BUFRCREX Table B,33,033077,RDR**,n/a,**,RDR = Raw data record,word,
1496,Code Flag Tables for BUFRCREX Table B,33,033077,2,(see Note 1),1,"SDR quality is invalid if bit trim failed (see bit 12), or fringe count error detected (see bit 11), or invalid raw data record (RDR) data (see bit 10), or invalid radiometric calibration (see bit 5), or invalid spectral calibration (see bit 7).",code,
1497,Code Flag Tables for BUFRCREX Table B,33,033077,5,(see Note 2),2,"Radiometric calibration is invalid if radiometric calibration is not performed, or if it is performed with invalid calibration data (e.g., deep space window size = 0).",code,
1498,Code Flag Tables for BUFRCREX Table B,33,033077,7,(see Note 3),3,"Spectral calibration is invalid if fringe count error detected and corrected (see bit 8), or if neon calibration is suspect and Lambda monitored calculation cannot be updated (see ""Scan-level quality flags"" (0 33 075) -bit 3).",code,
1499,Code Flag Tables for BUFRCREX Table B,33,033077,8,(see Note 4),4,"Set to 0 if no fringe count error was detected (see bit 11), or a fringe count error was detected but it was not corrected.",code,
1500,Code Flag Tables for BUFRCREX Table B,33,033077,9,(see Note 5),5,Set to 0 if day (solar zenith angle < 90°). Set to 1 if night (solar zenith angle ≥ 90°).,code,
1501,Code Flag Tables for BUFRCREX Table B,33,033077,10,(see Note 6),6,This flag indicates the instrument exhibited operational errors and the associated interferogram(s) is/are excluded from SDR processing.,code,
1502,Code Flag Tables for BUFRCREX Table B,33,033077,11,(see Note 7),7,"This flag indicates that a significant number of fringes have been missed, shifting the interferogram ZPD outside of a window monitored by the instrument, and the interferogram is excluded from SDR processing.",code,
1503,Code Flag Tables for BUFRCREX Table B,33,033078,/,/,/,/,/,no notes
1504,Code Flag Tables for BUFRCREX Table B,33,033079,/,/,/,/,/,no notes
1505,Code Flag Tables for BUFRCREX Table B,33,033080,7,*,*,PRT = Platinum Resistance Temperature,word,
1506,Code Flag Tables for BUFRCREX Table B,33,033081,/,/,/,/,/,no notes
1507,Code Flag Tables for BUFRCREX Table B,33,033082,/,/,/,/,/,no notes
1508,Code Flag Tables for BUFRCREX Table B,33,033083,7,n/a,*,OBC = on-board calibration,word,OBC
1509,Code Flag Tables for BUFRCREX Table B,33,033084,/,/,/,/,/,no notes
1510,Code Flag Tables for BUFRCREX Table B,33,033085,5,n/a,*,AOT = Aerosol optical thickness,word,
1511,Code Flag Tables for BUFRCREX Table B,33,033085,13,n/a,**,SDR = Sensor data record,word,
1512,Code Flag Tables for BUFRCREX Table B,33,033085,13,n/a,***,APSP = Aerosol particle size parameter,word,
1513,Code Flag Tables for BUFRCREX Table B,33,033086,/,/,/,/,/,no notes
1514,Code Flag Tables for BUFRCREX Table B,33,033087,/,/,/,/,/,no notes
1515,Code Flag Tables for BUFRCREX Table B,33,033088,9,n/a,*,IFOV = Instantaneous field of view,word,
1516,Code Flag Tables for BUFRCREX Table B,33,033092,/,/,/,/,/,no notes
1517,Code Flag Tables for BUFRCREX Table B,35,035000,/,/,/,/,/,no notes
1518,Code Flag Tables for BUFRCREX Table B,35,035001,/,/,/,/,/,no notes
1519,Code Flag Tables for BUFRCREX Table B,35,035030,/,/,/,/,/,no notes
1520,Code Flag Tables for BUFRCREX Table B,35,035031,/,/,/,/,/,no notes
1521,Code Flag Tables for BUFRCREX Table B,35,035032,/,/,/,/,/,no notes
1522,Code Flag Tables for BUFRCREX Table B,35,035033,/,/,/,/,/,no notes
1523,Code Flag Tables for BUFRCREX Table B,35,035034,/,/,/,/,/,no notes
1524,Code Flag Tables for BUFRCREX Table B,35,035035,/,/,/,/,/,no notes
1525,Code Flag Tables for BUFRCREX Table B,40,040005,n/a,n/a,no id,"The nominal range for the surface soil moisture is 0% - 100%. In extreme cases, the extrapolated backscatter at 40 degrees incidence angle may exceed the dry or the wet backscatter reference. In these cases, the value provided by the measurement process of surface soil moisture is, respectively,less than 0% or more than 100%.",tbd,
1526,Code Flag Tables for BUFRCREX Table B,40,040006,n/a,n/a,no id,See Note under Flag table 0 40 005.,tbd,references not in other table
1527,Code Flag Tables for BUFRCREX Table B,40,040011,/,/,/,/,/,no notes
1528,Code Flag Tables for BUFRCREX Table B,40,040012,/,/,/,/,/,no notes
1529,Code Flag Tables for BUFRCREX Table B,40,040013,tbd,n/a,*,JMR = JASON-1 Microwave Radiometer,word,
1530,Code Flag Tables for BUFRCREX Table B,40,040020,/,/,/,/,/,no notes
1531,Code Flag Tables for BUFRCREX Table B,40,040023,/,/,/,/,/,no notes
1532,Code Flag Tables for BUFRCREX Table B,40,040024,/,/,/,/,/,no notes
1533,Code Flag Tables for BUFRCREX Table B,40,040025,/,/,/,/,/,no notes
1534,Code Flag Tables for BUFRCREX Table B,40,040028,/,/,/,/,/,no notes
1535,Code Flag Tables for BUFRCREX Table B,40,040036,/,/,/,/,/,no notes
1536,Code Flag Tables for BUFRCREX Table B,40,040043,/,/,/,/,/,no notes
1537,Code Flag Tables for BUFRCREX Table B,40,040045,/,/,/,/,/,no notes
1538,Code Flag Tables for BUFRCREX Table B,40,040046,/,/,/,/,/,no notes
1539,Code Flag Tables for BUFRCREX Table B,40,040047,/,/,/,/,/,no notes
1540,Code Flag Tables for BUFRCREX Table B,40,040048,/,/,/,/,/,no notes
1541,Code Flag Tables for BUFRCREX Table B,40,040049,/,/,/,/,/,no notes
1542,Code Flag Tables for BUFRCREX Table B,40,040050,/,/,/,/,/,no notes
1543,Code Flag Tables for BUFRCREX Table B,40,040051,/,/,/,/,/,no notes
1544,Code Flag Tables for BUFRCREX Table B,40,040052,/,/,/,/,/,no notes
1545,Code Flag Tables for BUFRCREX Table B,40,040054,/,/,/,/,/,no notes
1546,Code Flag Tables for BUFRCREX Table B,40,040055,/,/,/,/,/,no notes
1547,Code Flag Tables for BUFRCREX Table B,40,040056,/,/,/,/,/,no notes
1548,Code Flag Tables for BUFRCREX Table B,40,040057,/,/,/,/,/,no notes
1549,Code Flag Tables for BUFRCREX Table B,40,040068,/,/,/,/,/,no notes
1550,Code Flag Tables for BUFRCREX Table B,40,040074,/,/,/,/,/,no notes
1551,Code Flag Tables for BUFRCREX Table B,42,042004,/,/,/,/,/,no notes
