ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042001,Dirección domite de las olas de mar de fondo en la partición espectral,°,0,0,9,°,0,3,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042002,Altura significativa de las olas de mar de fondo en la partición espectral,m,1,0,9,m,1,3,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042003,Longitud domite de las olas de mar de fondo en la partición espectral,m,2,100,17,m,2,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042004,Fiabilidad de la inversión para partición del espectro de olas de mar de fondo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042005,Factor supresor de ambigüedad para la partición de las olas de mar de fondo,Numérica,5,-100000,18,Numérica,5,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042006,Edad de la ola,Numérica,2,1,8,Numérica,2,3,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042007,Longitud de onda oceánica más corta en la resolución espectral,m,2,0,16,m,2,5,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042008,Ancho espectral inverso no lineal,m,2,0,16,m,2,5,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042009,Referencia de la partición de células,Numérica,0,0,8,Numérica,0,3,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042010,Número de partición,Numérica,0,1,4,Numérica,0,2,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042011,a1 Coeficiente de la serie direccional de Fourier,Numérica,4,-20000,15,Numérica,4,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042012,b1 Coeficiente de la serie direccional de Fourier,Numérica,4,-20000,15,Numérica,4,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042013,a2 Coeficiente de la serie direccional de Fourier,Numérica,4,-20000,15,Numérica,4,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042014,b2 Coeficiente de la serie direccional de Fourier,Numérica,4,-20000,15,Numérica,4,6,,,
,Clase 42 — Elementos oceanográficos BUFR/CREX,0042015,Verificar el factor K,Numérica,2,0,12,Numérica,2,4,,,
