ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
11,Viento y turbulencia BUFR/CREX,011021,Vorticidad relativa,m s-1,9,-65536,17,m s-1,9,6,,,Operational
11,Viento y turbulencia BUFR/CREX,011022,Divergencia,s-1,9,-65536,17,s-1,9,6,,,Operational
11,Viento y turbulencia BUFR/CREX,011023,Potencial de velocidad,m² s-1,-2,-65536,17,m² s-1,-2,6,,,Operational
11,Viento y turbulencia BUFR/CREX,011030,Grado de turbulencia ampliado,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
11,Viento y turbulencia BUFR/CREX,011031,Grado de turbulencia,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
11,Viento y turbulencia BUFR/CREX,011032,Altura de la base de la turbulencia,m,-1,-40,16,m,-1,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011033,Altura de la cima de la turbulencia,m,-1,-40,16,m,-1,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011034,Velocidad de las ráfagas verticales,m s-1,1,-1024,11,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011035,Aceleración de las ráfagas verticales,m s-2,2,-8192,14,m s-2,2,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011036,Equivalente máximo derivado de la velocidad de las ráfagas verticales,m s-1,1,0,10,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011037,Índice de turbulencia,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
11,Viento y turbulencia BUFR/CREX,011038,Hora a la que se produce la máxima tasa de disipación de los remolinos,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
11,Viento y turbulencia BUFR/CREX,011039,Hora ampliada a la que se produce la máxima tasa de disipación de los remolinos,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
11,Viento y turbulencia BUFR/CREX,011040,Velocidad máxima del viento (viento medio),m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011041,Velocidad máxima del viento (ráfagas),m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011042,Velocidad máxima del viento (viento medio de 10 minutos),m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011043,Dirección máxima del viento (ráfagas),grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011044,Dirección media del viento en la superficie – 1500 m (5000 pies),grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011045,Velocidad media del viento en la superficie – 1500 m (5000 pies),m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011046,Velocidad instantánea máxima del viento,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011047,Velocidad instantánea máxima del viento en 10 minutos,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011049,Desviación típica de la dirección del viento,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011050,Desviación típica de la velocidad del viento horizontal,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011051,Desviación típica de la velocidad del viento vertical,m s-1,1,0,8,m s-1,1,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011052,Incertidumbre formal de la velocidad del viento,m s-1,2,0,13,m s-1,2,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011053,Incertidumbre formal de la dirección del viento,grado verdadero,2,0,15,grado verdadero,2,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011054,Dirección media del viento para 1 500 m - 3000 m,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011055,Velocidad media del viento para 1 500 m - 3000 m,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011061,Cizalladura absoluta del viento en una capa inferior de 1 km,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011062,Cizalladura absoluta del viento en una capa superior de 1 km,m s-1,1,0,12,m s-1,1,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011070,Designador de la pista afectada por la cizalladura del viento (incluyendo ALL),CCITT IA5,0,0,32,Carácter,0,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011071,Flujo del momento vertical de la turbulencia,m² s-2,3,-128,14,m² s-2,3,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011072,Flujo de la fuerza ascensional vertical de la turbulencia,K m s-1,3,-128,11,K m s-1,3,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011073,Energía cinética de la turbulencia,m² s-2,2,-1024,13,m² s-2,2,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011074,Energía de disipación,m² s-2,2,-1024,10,m² s-2,2,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011075,Intensidad media de la turbulencia (tasa de disipación de los remolinos),m2/3 s-1,2,0,8,m2/3 s-1,2,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011076,Intensidad máxima de la turbulencia (tasa de disipación de los remolinos),m2/3 s-1,2,0,8,m2/3 s-1,2,3,,,Operational
11,Viento y turbulencia BUFR/CREX,011077,Intervalo de información a tiempo medio para la tasa de disipación de los remolinos,s,0,0,12,s,0,4,,,Operational
11,Viento y turbulencia BUFR/CREX,011081,Dirección modélica del viento a 10 m,grado verdadero,2,0,16,grado verdadero,2,5,,,Operational
11,Viento y turbulencia BUFR/CREX,011082,Velocidad modélica del viento a 10 m,m s-1,2,0,14,m s-1,2,4,,,Operational
