ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,008 001,Significación del sondeo vertical,Tabla de banderines,0,0,7,Tabla de banderines,0,3,,,
,,008 002,Significación vertical (observaciones de superficie),Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 003,Significación vertical (observaciones satelitales),Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 004,Fase del vuelo de la aeronave,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,008 005,Significación del atributo meteorológico,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 006,Significación del sondeo vertical del ozono,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,008 007,Significación dimensional,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 008,Significación del sondeo vertical de la radiación,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,008 009,Fase detallada de vuelo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 010,Calificador de superficie (datos de temperatura),Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,008 011,Característica meteorológica,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 012,Calificador tierra/mar,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,008 013,Calificador día/noche,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,008 014,Calificador para el alcance visual en pista,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 015,Calificador significativo del sensor,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,008 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,008 017,Calificador de la hora a la cual se espera que se produzca el cambio previsto,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,008 018,Tipo de superficie tierra/hielo medida por SeaWinds,Tabla de banderines,0,0,17,Tabla de banderines,0,6,,,
,,008 019,Calificador para el identificador del centro siguiente,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 020,Número total de períodos sin valores (para el cálculo del total o de la media),Numérica,0,0,16,Numérica,0,5,,,
,,008 021,Significación temporal,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,008 022,Número total (en relación a la acumulación o promedios),Numérica,0,0,16,Numérica,0,5,,,
,,008 023,Estadísticas de primer orden,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 024,Estadísticas de diferencia,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 025,Calificador de diferencia de tiempo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,(véase la nota 5),,
,,008 026,Significación matricial,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 029,Tipo de superficie,Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,,,
,,008 030,"Manual de claves (vol. I.1, sec. C) - Tabla de cifrado de la cual se obtienen los datos",Numérica,0,0,13,Numérica,0,4,,,
,,008 031,Categoría de datos de la Tabla A de CREX,Numérica,0,0,8,Numérica,0,3,,,
,,008 032,Estado de funcionamiento,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 033,Método de derivación del porcentaje de confianza,Tabla de cifrado,0,0,7,Tabla de cifrado,0,3,(véase la nota 6),,
,,008 034,Calificador de medición de la temperatura/salinidad,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,008 035,Tipo de ejercicio de control,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,008 036,Tipo de centro o estación que realiza el control,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,008 037,Significación de la comprobación de la línea de referencia,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,008 038,Significación de los datos proporcionados por el instrumento,Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,,,
,,008 039,Significación temporal (predicción aeronáutica),Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 040,Significación del nivel de vuelo,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,
,,008 041,Significación de datos,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,008 042,Significación del sondeo vertical ampliado,Tabla de banderines,0,0,18,Tabla de banderines,0,6,,,
