TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 101,(Profileur du vent — caractéristiques de l'antenne) Type d'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 114,Surface équivalente de l'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 105,Gain maximal de l'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 106,Ouverture de faisceau à 3 dB,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 107,Suppression des lobes latéraux,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 001,0 02 121,Fréquence moyenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 003,0 21 051,(Profileur du vent — données relatives au moment) Puissance du signal supérieure à 1 mW,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 003,0 21 014,Vitesse Doppler moyenne (radiale),
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 003,0 21 017,Largeur spectrale de la vitesse Doppler,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 003,0 21 030,Rapport signal-bruit,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 004,3 01 031,"(Profileur du vent — sondage des données relatives au moment) Identification et type de station, date/heure, position (précision élevée), hauteur de la station",
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 004,0 02 003,Type d'équipement de mesure utilisé,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 004,1 01 000,Répétition différée de 1 descripteur,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 004,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 004,3 21 003,Profileur du vent - données relatives au moment,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 25 004,(Caractéristiques des émetteurs-récepteurs) Traitement des échos,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 121,Fréquence moyenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 122,Gamme d'agilité de fréquence,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 123,Puissance de crête,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 124,Puissance moyenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 125,Fréquence de répétition des impulsions,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 126,Largeur d'impulsion,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 127,Fréquence intermédiaire du récepteur,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 128,Bande passante aux fréquences intermédiaires,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 129,Signal minimal détectable,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 130,Portée dynamique,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 005,0 02 131,Commande de gain variable dans le temps,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 006,0 25 001,(Caractéristiques d'intégration) Distance de la porte d'intégration,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 006,0 25 002,Nombre moyen de portes,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 006,0 25 003,Nombre d'impulsions intégrées,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 006,0 25 005,Intégration des échos,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 009,(Corrections) Méthode d'étalonnage,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 010,Traitement des échos fixes,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 011,Correction des échos de sol (filtrage),
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 012,Correction de l'atténuation de portée,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 013,Correction de la bande brillante,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 015,Correction de l'atténuation par le radôme,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 016,Correction de l'atténuation en air clair,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 007,0 25 017,Correction de l'atténuation par les précipitations,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 008,0 25 006,(Conversion de Z à R) Conversion Z – R,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 008,0 25 007,Facteur de conversion Z – R,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 008,0 25 008,Exposant de conversion Z – R,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 009,0 25 018,(Loi reliant A à Z) Loi reliant A à Z pour le facteur d'atténuation,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 009,0 25 019,Loi reliant A à Z pour l'exposant d'atténuation,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 101,(Caractéristiques de l'antenne) Type d'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 07 002,Hauteur ou altitude,Altitude de la base du pylône
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 102,Hauteur de l'antenne au-dessus de la base du pylône,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 103,Radôme,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 104,Polarisation de l'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 105,Gain maximal de l'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 106,Ouverture de faisceau à 3 dB,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 107,Suppression des lobes latéraux,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 108,Rapport de découplage de polarisation croisée dans l'axe,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 109,Vitesse angulaire de l'antenne (en azimut),
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 110,Vitesse angulaire de l'antenne (en élévation),
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 132,Exactitude du pointage en azimut,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 010,0 02 133,Exactitude de l'angle de site,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 011,0 30 031,(Caractéristiques générales) Type d'image,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 011,0 30 032,Combinaison avec d'autres données,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 011,0 29 002,Type de grille de coordonnées,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 012,1 01 000,(Angles de site de l'antenne) Répétition différée de 1 descripteur,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 012,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 012,0 02 135,Angle de site de l'antenne,
Catégorie 21 – Séquences correspondant à des messages de mesures par radar,3 21 021,0 02 003,(Information de base (système/site) concernant le profileur du vent/ RASS (Système de sondage radio-acoustique)) Type d'équipement de mesure utilisé,
