Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
13,Catégorie 13 — Séquences communes aux données d'images,313009,(Valeurs de réflectivité radar),,021001,Réflectivité horizontale,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313009,(Valeurs de réflectivité radar),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313009,(Valeurs de réflectivité radar),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313009,(Valeurs de réflectivité radar),,021001,Réflectivité horizontale,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313010,(Intensités des précipitations mesurées par radar),,021036,Intensité des précipitations mesurée par radar,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313010,(Intensités des précipitations mesurées par radar),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313010,(Intensités des précipitations mesurées par radar),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313010,(Intensités des précipitations mesurées par radar),,021036,Intensité des précipitations mesurée par radar,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313031,(faible précision),,006002,Longitude (Pas de codage en longueur de ligne pour la valeur des pixels (4 bits)),Première position de la longitude moins un incrément,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313031,(faible précision),,006012,Incrément de longitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313031,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313031,(faible précision),,031002,Facteur élargi de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313031,(faible précision),,030001,Valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313032,(faible précision),,005002,Latitude (Données d'images pas codées selon la méthode de codage par plages pour la valeur des pixels (4 bits)),Première position de la latitude moins un incrément Valeur indiquée de façon à ne pas traverser le pôle,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313032,(faible précision),,005012,Incrément de latitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313032,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313032,(faible précision),,031002,Facteur élargi de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313032,(faible précision),,313031,Pas de codage en longueur de ligne pour la valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,006002,Longitude (Codage en longueur de ligne pour la valeur des pixels (4 bits)),Première position de la longitude moins un incrément,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,110000,Répétition différée de 10 descripteurs,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,104000,Répétition différée de 4 descripteurs,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,006012,Incrément de longitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,031012,Facteur élargi de répétition différée du descripteur et des données,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,030001,Valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,006012,Incrément de longitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313041,(faible précision),,030001,Valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313042,(faible précision),,005002,Latitude (Données d'images codées selon la méthode de codage par plages pour la valeur des pixels (4 bits)),Première position de la latitude moins un incrément Valeur indiquée de façon à ne pas traverser le pôle,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313042,(faible précision),,005012,Incrément de latitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313042,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313042,(faible précision),,031002,Facteur élargi de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313042,(faible précision),,313041,Codage en longueur de ligne pour la valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,006002,"Longitude (Données d'images codées selon la méthode de codage par plages pour la valeur des pixels (4 bits), grille régulière)",Première position de la longitude moins un incrément,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,005002,Latitude,Première position de la latitude moins un incrément,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,005012,Incrément de latitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,112000,Répétition différée de 12 descripteurs,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,110000,Répétition différée de 10 descripteurs,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,104000,Répétition différée de 4 descripteurs,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,006012,Incrément de longitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,031011,Facteur de répétition,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,030001,Valeur des pixels,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,006012,Incrément de longitude,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,101000,Répétition différée de 1 descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,031001,Facteur de répétition différée du descripteur,,,,Operational
13,Catégorie 13 — Séquences communes aux données d'images,313043,(faible précision),,030001,Valeur des pixels,,,,Operational
