"Category","CategoryOfSequences_fr","FXY1","Title_fr","SubTitle_fr","FXY2","ElementName_fr","ElementDescription_fr","Note_fr","noteIDs","Status"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","301011","Année, mois, jour","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","004004","Heure","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","(faible précision)","","301023","Latitude/longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","001021","Indicateur d'identification de la caractéristique synoptique","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","002041","Méthode d'estimation utilisée pour les comptes rendus relatifs aux caractéristiques synoptiques","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","019001","Type de la caractéristique synoptique","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","010051","Pression ramenée au niveau moyen de la mer","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","019002","Rayon réel de la caractéristique","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","019003","Seuil de la vitesse du vent","Généralement 15 m s-1","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316001","","","019004","Rayon réel pour les vitesses du vent supérieures au seuil","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","(En-tête)","","008021","Caractéristique temporelle","Heure d'analyse de données","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004001","Année","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004002","Mois","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004003","Jour","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004004","Heure","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004005","Minute","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","001033","Identification du centre d'origine/ de production","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","008021","Caractéristique temporelle","Période de validité (prévision)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004001","Année","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004002","Mois","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004003","Jour","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004004","Heure","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","004005","Minute","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","007002","Hauteur ou altitude","Niveau de vol (base de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316002","","","007002","Hauteur ou altitude","Niveau de vol (sommet de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","(Courant-jet)","","110000","Répétition différée de 10 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","008011","Caractéristique météorologique","Valeur pour courant-jet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","008007","Caractéristique dimensionnelle","Valeur pour ligne","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","104000","Répétition différée de 4 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","010002","Hauteur","Niveau de vol","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","011002","Vitesse du vent","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","008007","Caractéristique dimensionnelle","Annuler","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316003","","","008011","Caractéristique météorologique","Annuler | Fin d'objet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","(Turbulence)","","111000","Répétition différée de 11 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","008011","Caractéristique météorologique","Valeur pour turbulence","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","008007","Caractéristique dimensionnelle","Valeur pour zone","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","007002","Hauteur ou altitude","Niveau de vol (base de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","007002","Hauteur ou altitude","Niveau de vol (sommet de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","102000","Répétition différée de 2 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","(voir note 1)","","011031","Degré de turbulence","","(voir note 1)","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","008007","Caractéristique dimensionnelle","Annuler","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316004","","","008011","Caractéristique météorologique","Annuler | Fin d'objet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","(Tempête)","","108000","Répétition différée de 8 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","008005","Signification de la caractéristique météorologique","Centre de la tempête","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","008007","Caractéristique dimensionnelle","Valeur pour point","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","001026","Nom OMM de la tempête","Utiliser ""UNKNOWN"" pour une tempête de sable","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","019001","Type de la caractéristique synoptique","Valeur pour type de tempête","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","008007","Caractéristique dimensionnelle","Annuler","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316005","","","008005","Signification de la caractéristique météorologique","Annuler | Fin d'objet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","(Nuages)","","112000","Répétition différée de 12 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","008011","Caractéristique météorologique","Valeur pour les nuages","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","008007","Caractéristique dimensionnelle","Valeur pour zone","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","007002","Hauteur ou altitude","Niveau de vol (base de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","007002","Hauteur ou altitude","Niveau de vol (sommet de la couche)","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","102000","Répétition différée de 2 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","(voir note 2)","","020011","Nébulosité","","(voir note 2)","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","020012","Type de nuage","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","008007","Caractéristique dimensionnelle","Annuler","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316006","","","008011","Caractéristique météorologique","Annuler | Fin d'objet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","(Front)","","110000","Répétition différée de 10 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","(voir note 3)","","008011","Caractéristique météorologique","Valeur pour type de fond","(voir note 3)","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","008007","Caractéristique dimensionnelle","Valeur pour ligne","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","104000","Répétition différée de 4 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","019005","Direction de déplacement de la caractéristique","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","019006","Vitesse de déplacement de la caractéristique","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","008007","Caractéristique dimensionnelle","Annuler","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316007","","","008011","Caractéristique météorologique","Annuler | Fin d'objet","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","(Tropopause)","","111000","Répétition différée de 11 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","008001","Caractéristique correspondant à des données de sondage vertical","Bit 3 mis à 1 pour tropopause","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","008007","Caractéristique dimensionnelle","Valeur pour point","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","(voir note 4)","","008023","Statistiques de premier ordre","Valeur pour type de tropopause","(voir note 4)","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","103000","Répétition différée de 3 descripteurs","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","(faible précision)","","005002","Latitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","(faible précision)","","006002","Longitude","","","","Operational"
"16","Catégorie 16 Séquences correspondant à des caractéristiques synoptiques","316008","","","010002","Hauteur","","","","Operational"
