TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 001,0 10 004,Pression,Pression au niveau de la station,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 001,0 10 051,Pression ramenée au niveau moyen de la mer,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 001,0 10 061,Variation de pression en 3 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 001,0 10 063,Caractéristique de la tendance barométrique,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 002,0 10 004,Pression,Pression au niveau de la station,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 002,0 07 004,Pression,Niveau barique,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 002,0 10 003,Géopotentiel,Niveau barique,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 002,0 10 061,Variation de pression en 3 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 002,0 10 063,Caractéristique de la tendance barométrique,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 11 011,Direction du vent à 10 m,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 11 012,Vitesse du vent à 10 m,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 12 004,Température de l'air à 2 m,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 12 006,Température du point de rosée à 2 m,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 13 003,Humidité relative,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 20 001,Visibilité horizontale,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 20 003,Temps présent,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 20 004,Temps passé (1),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 003,0 20 005,Temps passé (2),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 010,Nébulosité (totale),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 08 002,Caractéristique verticale (observations en surface),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 011,Nébulosité,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 013,Hauteur de la base des nuages,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 012,Type de nuage,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 012,Type de nuage,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 004,0 20 012,Type de nuage,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 005,0 08 002,Caractéristique verticale (observations en surface),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 005,0 20 011,Nébulosité,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 005,0 20 012,Type de nuage,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 005,0 20 013,Hauteur de la base des nuages,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 006,0 10 004,Pression,Pression au niveau de la station,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 006,0 10 051,Pression ramenée au niveau moyen de la mer,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 006,0 10 062,Variation de pression en 24 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 006,0 10 063,Caractéristique de la tendance barométrique,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 011,3 02 001,Pression et variation de pression en 3 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 011,3 02 003,"Vent, température, humidité, visibilité, temps",,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 011,3 02 004,Information générale sur les nuages,Couche signifi-cative de nuages,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 012,3 02 002,Station à haute altitude,Pression et varia-tion de pression,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 012,3 02 003,"Vent, température, humidité, visibilité, temps",,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 012,3 02 004,Information générale sur les nuages,Couche signifi-cative de nuages,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 013,3 02 006,Pression et variation de pression en 24 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 013,3 02 003,"Vent, température, humidité, visibilité, temps",,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 013,1 01 000,Répétition différée de 1 descripteur,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 013,0 31 001,Facteur de répétition différée du descripteur,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 013,3 02 005,Couche nuageuse,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 021,0 22 001,Direction des vagues,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 021,0 22 011,Période des vagues,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 021,0 22 021,Hauteur des vagues,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 022,0 22 002,Direction des vagues de la mer du vent,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 022,0 22 012,Période des vagues de la mer du vent,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 022,0 22 022,Hauteur des vagues de la mer du vent,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 023,0 22 003,Direction des vagues de la houle,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 023,0 22 013,Période des vagues de la houle,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 023,0 22 023,Hauteur des vagues de la houle,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 024,3 02 022,Vagues de la mer du vent,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 024,1 01 002,Répéter 1 descripteur 2 fois,2 systèmes de houle,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 024,3 02 023,Vagues de la houle,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 031,3 02 001,Pression et variation de pression en 3 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 031,0 10 062,Variation de pression en 24 heures,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 031,0 07 004,Pression,Pression isobare standard,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 031,0 10 009,Hauteur géopotentielle,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 032,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la température et de l'humidité,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 032,0 12 101,Température/température de l'air,Échelle: 2,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 032,0 12 103,Point de rosée,Échelle: 2,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 032,0 13 003,Humidité relative,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 033,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la visibilité,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 033,0 20 001,Visibilité horizontale,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 034,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure des précipitations,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 034,0 13 023,Quantité totale de précipitations au cours des 24 heures précédentes,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,3 02 032,Données sur la température et l'humidité,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,3 02 033,Données sur la visibilité,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,3 02 034,Précipitations sur les 24 heures écoulées,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mis à valeur manquante (annuler),
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,3 02 004,Information générale sur les nuages,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,1 01 000,Répétition différée de 1 descripteur,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,0 31 001,Facteur de répétition différée du descripteur,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 035,3 02 005,Couche nuageuse,Couche ou masse de nuages unique,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,1 05 000,Répétition différée de 5 descripteurs,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 31 001,Facteur de répétition différée du descripteur,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 08 002,Caractéristique verticale (observations en surface),,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 20 011,Nébulosité,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 20 012,Type de nuage,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 20 014,Hauteur du sommet des nuages,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 036,0 20 017,Description du sommet des nuages,,
Catégorie 02 — Séquences météorologiques communes aux données de surface,3 02 037,0 20 062,État du sol (recouvert ou non d'une couche de neige),,
