TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 001,0 01 011,(Messages types de données de mesures par sonde immergée sans champs facultatifs) Indicateur d'identification du navire ou d'une station terrestre mobile,Indicatif d'appel du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 001,3 01 011,"Année, mois, jour",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 001,3 01 012,"Heure, minute",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 001,3 01 023,Latitude/longitude (faible précision),
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 001,3 06 001,"Profondeur, température",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 002,0 01 011,(Messages types de données de mesures par sonde immergée sans champs facultatifs) Indicateur d'identification du navire ou d'une station terrestre mobile,Indicatif d'appel du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 002,3 01 011,"Année, mois, jour",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 002,3 01 012,"Heure, minute",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 002,3 01 023,Latitude/longitude (faible précision),
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 002,3 06 004,"Profondeur, température, salinité",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 01 087,(Profils de la température et de la salinité établis par des flotteurs profileurs) Extension de l'indicatif OMM de la plate-forme d'observation maritime,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 01 085,Modèle de la plate-forme d'observation – appellation donnée par le fabricant,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 01 086,"Numéro de série de la plate-forme d'observation, fourni par le fabricant",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 02 036,Type de bouée,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 02 148,Système de collecte de données et/ou de positionnement,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 02 149,Type de bouée de collecte de données,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 22 055,Numéro de cycle du flotteur,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 22 056,Direction du profil,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 22 067,Type d'instrument pour la mesure du profil de la température/salinité de l'eau,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,3 01 011,"Année, mois, jour",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,3 01 012,"Heure, minute",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,3 01 021,Latitude/longitude (précision élevée),
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 08 080,Identificateur de l'indicateur de qualité pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 33 050,Indicateur de qualité global pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,1 09 000,Répétition différée de 9 descripteurs,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 31 002,Facteur élargi de répétition différée du descripteur,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 07 065,Pression hydrostatique,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 08 080,Identificateur de l'indicateur de qualité pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 33 050,Indicateur de qualité global pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 22 045,Température de la mer/de l'eau,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 08 080,Identificateur de l'indicateur de qualité pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 33 050,Indicateur de qualité global pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 22 064,Salinité,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 08 080,Identificateur de l'indicateur de qualité pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 003,0 33 050,Indicateur de qualité global pour le GTSPP,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 079,(Séquence de données pour le profil de température établi à l'aide de XBT) Identificateur de profil unique,Chaîne hexadécimale
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 011,Indicateur d'identification du navire ou d'une station terrestre mobile,Indicatif d'appel du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 103,Numéro OMI ou numéro unique du Lloyd's Register,= 0 à 9999999
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 087,Extension de l'indicatif OMM de la plate-forme d'observation maritime (voir note 1),Nom du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 019,Nom complet de la station ou du site,Nom du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 080,Numéro de la ligne parcourue par le navire du SOOP,Nom du navire
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 05 036,Numéro de la coupe exécutée par le navire du SOOP (voir note 2),
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 036,Organisme chargé de la mise en œuvre de la plate-forme d'observation,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 013,Vitesse de déplacement de la plate-forme d'observation mobile,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 01 012,Direction de déplacement de la plate-forme d'observation mobile,
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,3 01 011,"Année, mois, jour",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,3 01 012,"Heure, minute",
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,3 01 021,Latitude/longitude (précision élevée),
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 02 002,Type d'instrument pour la mesure du vent,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 11 002,Vitesse du vent,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 11 001,Direction du vent,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 12 101,Température/température de l'air,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 12 103,Point de rosée,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mis à valeur manquante (annuler)
Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,3 15 004,3 02 021,Vagues,
