Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,Comptes rendus d'aéronef,,301051,"Numéro de vol, système de navigation, date/heure, position, phase de vol",ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,007002,Hauteur ou altitude,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,012001,Température/température de l'air,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,011001,Direction du vent,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,011002,Vitesse du vent,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,011031,Degré de turbulence,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,011032,Hauteur de la base de la turbulence,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,011033,Hauteur du sommet de la turbulence,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,,,020041,Givrage d'aéronef,ASDAR,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,Messages ACARS,,301065,Identification du message ACARS,,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,,,301066,Position concernant les messages ACARS,,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,,,311003,Variables ACARS standard transmises,,,,Operational
11,Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,,,311004,Variables ACARS supplémentaires transmises,,,,Operational
