TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 001,0 11 001,(Mesure unique SADC-HYCOS) Direction du vent,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 001,0 11 002,Vitesse du vent,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 001,0 13 060,Précipitations totales cumulées,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 001,0 13 071,Niveau d'eau en amont,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,3 01 012,"(Mesure de l'environnement SADC-HYCOS) Heure, minute",
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 12 001,Température/température de l'air,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 003,Humidité relative,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 14 051,"Rayonnement solaire direct, intégré au cours de la dernière heure",
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 060,Précipitations totales cumulées,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 072,Niveau d'eau en aval,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 080,pH de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 081,Conductivité de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 082,Température de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 083,Oxygène dissous,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 002,0 13 084,Turbidité,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 003,3 01 012,"(Définition de la série de mesures SADC-HYCOS) Heure, minute",Première mesure unique moins l'incrément
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 003,0 04 065,Incrément de courte durée,Intervalle de temps entre les mesures
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 003,1 01 000,Répétition différée de 1 descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 003,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 003,3 05 001,Mesure unique SADC-HYCOS,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 004,3 01 030,(Message d'observation SADC-HYCOS) Identification – avec position,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 004,3 05 002,Mesure de l'environnement SADC-HYCOS,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 004,3 05 003,Définition de la série de mesures SADC-HYCOS,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 13 072,(Mesure MEDHYCOS) Niveau d'eau en aval,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 13 082,Température de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 13 019,Quantité totale de précipitations au cours de l'heure précédente,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 12 001,Température/température de l'air,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 13 073,Niveau d'eau maximal,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 006,0 13 060,Précipitations totales cumulées,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,3 01 029,(Message d'observation MEDHYCOS) Identification,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,3 01 012,"Heure, minute",Moment de la première mesure
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,0 04 065,Incrément de courte durée,Intervalle de temps entre les mesures
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,1 01 000,Répétition différée de 1 descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 007,3 05 006,Mesure MEDHYCOS,Mesure unique
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 008,3 05 006,(Mesure AOCHYCOS-Tchad) Mesure MEDHYCOS,Identique à la mesure de type MEDHYCOS
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 008,0 12 030,Température du sol,À une profondeur de 50 cm
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,3 01 029,(Message d'observation AOCHYCOS-Tchad) Identification,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,3 01 012,"Heure, minute",Moment de la première mesure
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,0 04 065,Incrément de courte durée,Intervalle de temps entre les mesures
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,1 01 000,Répétition différée de 1 descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 009,3 05 008,Mesure AOCHYCOS-Tchad,Mesure unique
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 010,3 05 008,(Mesure MEDHYCOS de type 2) Mesure AOCHYCOS-Tchad,Identique à la mesure de type AOCHYCOS
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 010,0 02 091,Capteur d'entrée 4/20 mA,N° 1
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 010,0 02 091,Capteur d'entrée 4/20 mA,N° 2
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,3 01 029,(Messages d'observation MEDHYCOS de type 2) Identification,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,3 01 012,"Heure, minute",Moment de la première mesure
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,0 04 065,Incrément de courte durée,Intervalle de temps entre les mesures
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,1 01 000,Répétition différée de 1 descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 011,3 05 010,Mesure MEDHYCOS de type 2,Mesure unique
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 14 021,"(Paramètres météorologiques associés à des données hydrologiques) Rayonnement solaire global, intégré sur une période déterminée",
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 07 004,Pression,Pression atmosphérique
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 13 003,Humidité relative,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 11 002,Vitesse du vent,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 11 001,Direction du vent,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 11 041,Vitesse de la rafale maximale,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 016,0 11 043,Direction de la rafale maximale,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 017,0 13 080,(Mesure de la qualité de l'eau) pH de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 017,0 13 081,Conductivité de l'eau,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 017,0 13 083,Oxygène dissous,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 017,0 13 085,Potentiel de réduction d'oxydation,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 017,0 13 084,Turbidité,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,3 01 029,(Message d'observation MEDHYCOS avec données météorologiques et données sur la qualité de l'eau) Identification,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,3 01 012,"Heure, minute",Moment de la première mesure
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,0 04 065,Incrément de courte durée,Incrément temporel
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,1 03 000,Répétition différée de 3 descripteurs,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,3 05 008,Mesure AOCHYCOS-Tchad,Identique à la mesure de type AOCHYCOS
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,3 05 016,Paramètres météorologiques associés à des données hydrologiques,
Catégorie 05 — Séquences météorologiques ou hydrologiques communes aux observations hydrologiques,3 05 018,3 05 017,Mesure de la qualité de l'eau,
