TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,DESCRIPTION de L’ÉLÉMENT
Table D/09 BUFR,3 09 051,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 051,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 051,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 051,3 03 052,Données sur le vent à l'altitude correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 051,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 051,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 051,3 03 053,Données sur le cisaillement du vent à l'altitude correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 052,3 01 111,"(Séquence pour la représentation des données d'observation TEMP, TEMP SHIP et TEMP MOBIL) Identification du site du lâcher et instruments de mesure du vent, de la pression, de la température et de l'humidité (PTU)",,
Table D/09 BUFR,3 09 052,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 052,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 052,3 02 049,Données sur les nuages transmises avec les sondages verticaux,,
Table D/09 BUFR,3 09 052,0 22 043,Température de la mer/de l'eau,,
Table D/09 BUFR,3 09 052,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 052,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 052,3 03 054,"Données sur la température, le point de rosée et le vent au niveau de pression correspondant à la position de la radiosonde",,
Table D/09 BUFR,3 09 052,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 052,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 052,3 03 051,Données sur le cisaillement du vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 053,3 01 112,(Séquence pour la représentation des données d'observation TEMP DROP) Identification du point de lâcher et instruments de la catasonde,,
Table D/09 BUFR,3 09 053,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 053,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 053,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 053,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 053,3 03 054,"Données sur la température, le point de rosée et le vent au niveau de pression correspondant à la position de la radiosonde",,
Table D/09 BUFR,3 09 053,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 053,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 053,3 03 051,Données sur le cisaillement du vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 054,3 01 001,(Séquence pour la représentation des données CLIMAT TEMP et CLIMAT TEMP SHIP) Indicateur régional OMM et chiffre indicatif OMM de la station,Identification du site du lâcher,
Table D/09 BUFR,3 09 054,0 01 011,Indicateur d'identification du navire ou d'une station terrestre mobile,Indicatif d'appel du navire,
Table D/09 BUFR,3 09 054,3 01 011,"Année, mois, jour",,
Table D/09 BUFR,3 09 054,3 01 012,"Heure, minute",,
Table D/09 BUFR,3 09 054,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 054,0 07 030,Altitude du sol de la station,,
Table D/09 BUFR,3 09 054,0 07 031,Altitude du baromètre,,
Table D/09 BUFR,3 09 054,0 07 007,Hauteur,Altitude du lâcher de la sonde,
Table D/09 BUFR,3 09 054,0 04 023,Moyennes mensuelles Période ou décalage dans le temps,Nombre de jours dans le mois,
Table D/09 BUFR,3 09 054,0 04 059,Heures des observations servant à calculer les valeurs moyennes transmises,,
Table D/09 BUFR,3 09 054,1 15 000,Répétition différée de 15 descripteurs,,
Table D/09 BUFR,3 09 054,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 054,0 08 001,Caractéristique correspondant à des données de sondage vertical,,
Table D/09 BUFR,3 09 054,0 08 023,Statistiques de premier ordre,= 4 Valeur moyenne,
Table D/09 BUFR,3 09 054,0 07 004,Pression,,
Table D/09 BUFR,3 09 054,0 10 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 054,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 054,0 12 103,Point de rosée,,
Table D/09 BUFR,3 09 054,0 08 023,Statistiques de premier ordre,= 32 Moyenne vectorielle,
Table D/09 BUFR,3 09 054,0 11 001,Direction du vent,,
Table D/09 BUFR,3 09 054,0 11 002,Vitesse du vent,,
Table D/09 BUFR,3 09 054,0 08 023,Statistiques de premier ordre,Mis à valeur manquante,
Table D/09 BUFR,3 09 054,0 11 019,Stabilité du vent,,
Table D/09 BUFR,3 09 054,0 08 050,Identificateur pour le nombre de valeurs manquantes dans le calcul des statistiques,= 2 Température,
Table D/09 BUFR,3 09 054,0 08 020,Nombre total de valeurs manquantes (pour le calcul du total ou de la moyenne),Jours,
Table D/09 BUFR,3 09 054,0 08 050,Identificateur pour le nombre de valeurs manquantes dans le calcul des statistiques,= 9 Vent,
Table D/09 BUFR,3 09 054,0 08 020,Nombre total de valeurs manquantes (pour le calcul du total ou de la moyenne),Jours,
Table D/09 BUFR,3 09 055,3 01 111,"(Modèle de représentation des données de radiosonde haute résolution avec hauteur géopotentielle en tant que coordonnée verticale) Identification du site du lâcher et instruments de mesure du vent, de la pression, de la température et de l'humidité (PTU)",,
Table D/09 BUFR,3 09 055,0 25 061,Identification du logiciel et numéro de version,,
Table D/09 BUFR,3 09 055,0 01 081,Numéro de série de la radiosonde,,
Table D/09 BUFR,3 09 055,0 01 082,Numéro du radiosondage,,
Table D/09 BUFR,3 09 055,0 02 067,Fréquence de fonctionnement de la radiosonde,,
Table D/09 BUFR,3 09 055,0 02 095,Type de capteur de pression,,
Table D/09 BUFR,3 09 055,0 02 096,Type de capteur de température,,
Table D/09 BUFR,3 09 055,0 02 097,Type de capteur d'humidité,,
Table D/09 BUFR,3 09 055,0 02 081,Type de ballon,,
Table D/09 BUFR,3 09 055,0 02 082,Poids du ballon,,
Table D/09 BUFR,3 09 055,0 02 084,Type de gaz insufflé,,
Table D/09 BUFR,3 09 055,0 02 191,Calcul de la hauteur géopotentielle,,
Table D/09 BUFR,3 09 055,3 01 113,Date et heure du lâcher (voir note 3),,
