TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,SÉQUENCE de DESCRIPTEURS
Table D/06 BUFR,3 06 041,1 02 000,Répétition différée de 2 descripteurs,,
Table D/06 BUFR,3 06 041,0 31 001,Facteur de répétition différée du descripteur,Nombre de profondeurs,
Table D/06 BUFR,3 06 041,0 07 062,Profondeur sous la surface de la mer/ de l'eau,,
Table D/06 BUFR,3 06 041,0 22 043,Température de la mer/de l'eau,,
Table D/06 BUFR,3 06 042,0 02 169,(Mesure du vent au moyen de bouées dérivantes) Type d'anémomètre,"Ex. = 2 WOTAN, = 3 Anémomètre sonique",
Table D/06 BUFR,3 06 042,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Hauteur de l'anémomètre au-dessus de la surface de l'eau ou hauteur réelle pour WOTAN,
Table D/06 BUFR,3 06 042,0 08 021,Caractéristique temporelle,= 2 Moyenne sur une certaine période,
Table D/06 BUFR,3 06 042,0 04 025,Période ou décalage dans le temps,Période à laquelle correspond la valeur moyenne en minutes,
Table D/06 BUFR,3 06 042,0 11 001,Direction du vent,À la hauteur du capteur,
Table D/06 BUFR,3 06 042,0 11 002,Vitesse du vent,À la hauteur du capteur,
Table D/06 BUFR,3 06 043,0 41 001,(Observations sur la biogéochimie et le rayonnement en milieu marin) pCO2,,
Table D/06 BUFR,3 06 043,0 08 043,Type de constituants chimiques ou physiques de l'atmosphère,Chiffré 3 (dioxyde de carbone),
Table D/06 BUFR,3 06 043,0 15 028,Fraction molaire du constituant/polluant atmosphérique en air sec,,
Table D/06 BUFR,3 06 043,0 08 043,Type de constituants chimiques ou physiques de l'atmosphère,Annuler,
Table D/06 BUFR,3 06 043,0 13 080,pH de l'eau,,
Table D/06 BUFR,3 06 043,0 41 005,Turbidité,,
Table D/06 BUFR,3 06 043,0 41 003,Nitrates dissous,,
Table D/06 BUFR,3 06 043,0 22 188,Oxygène dissous,,
Table D/06 BUFR,3 06 043,0 41 002,Fluorescence,,
Table D/06 BUFR,3 06 043,1 06 000,Répétition différée de 6 descripteurs,,
Table D/06 BUFR,3 06 043,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/06 BUFR,3 06 043,0 04 024,Période ou décalage dans le temps (en heures),Chiffré -1 (heure précédente),
Table D/06 BUFR,3 06 043,0 14 002,"Rayonnement de grande longueur d'onde, intégré sur une période déterminée",Rayonnement de grande longueur d'onde descendant,
Table D/06 BUFR,3 06 043,0 14 002,"Rayonnement de grande longueur d'onde, intégré sur une période déterminée",Rayonnement de grande longueur d'onde ascendant,
Table D/06 BUFR,3 06 043,0 14 012,"Bilan du rayonnement de grande longueur d'onde, intégré sur une période déterminée",,
Table D/06 BUFR,3 06 043,0 14 004,"Rayonnement de courte longueur d'onde, intégré sur une période déterminée",,
Table D/06 BUFR,3 06 043,0 04 024,Période ou décalage dans le temps (en heures),Annuler,
