Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,321 025,,,007007,Altura,,,,
,,,,,021091,Momento 0 del espectro Doppler de la señal del radar,,,,
,,,,,021030,Relación señal-ruido,,,,
,,,,,202129,Cambio de escala,Escala: 2,,,
,,,,,021014,Velocidad media Doppler (radial),,,,
,,,,,201129,Cambio de anchura de datos,9 bits,,,
,,,,,021017,Ancho espectral de la velocidad Doppler,,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,021092,"Momento 0 del espectro Doppler de la señal RASS (sistema de sondeo radioacústico), con referencia a la señal RASS",,,,
,,,,,021030,Relación señal-ruido,Con referencia a la señal RASS,,,
,,,,,025092,Velocidad de propagación acústica,,,,
,,,,,201129,Cambio de anchura de datos,9 bits,,,
,,,,,202129,Cambio de escala,Escala: 2,,,
,,,,,021017,Ancho espectral de la velocidad Doppler,Con referencia a la señal RASS,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,,"(Datos RASS (sistema de sondeo radioacústico) –
flujos)",,,,
,,321026,,,010007,Altura,,,,
,,,,,204001,Campo asociado añadido,1 bit,,,
,,,,,031021,Significación del campo asociado,,,,
,,,,,012007,Temperatura virtual,,,,
,,,,,025091,Constante estructural del índice de refracción (Cn2),,,,
,,,,,011071,Flujo del momento vertical de la turbulencia,,,,
,,,,,011072,Flujo de la fuerza ascensional vertical de la turbulencia,,,,
,,,,,011073,Energía cinética de la turbulencia,,,,
,,,,,011074,Energía de disipación,,,,
,,,,,204000,Campo asociado añadido,Anular,,,
,,,,,,"(Especificación de radar, sección representativa normalizada del radar, coeficiente de
variancia Kp)",,,,
,,321027,,,021118,Corrección de atenuación aplicada a sigma-0,,,,
,,,,,202129,Cambio de escala,,,,
,,,,,201132,Cambio de anchura de datos,,,,
,,,,,002112,Ángulo de abertura del haz radar,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,201131,Cambio de anchura de datos,,,,
,,,,,002111,Ángulo de incidencia del radar,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,002104,Polarización de la antena,,,,
,,,,,021105,Sección representativa normalizada del radar,,,,
,,,,,021106,Coeficiente de variancia Kp (alfa),,,,
,,,,,021107,Coeficiente de variancia Kp (beta),,,,
,,,,,021114,Coeficiente de variancia Kp (gamma),,,,
,,,,,021115,Calidad de sigma-0 determinada por SeaWinds,,,,
,,,,,021116,Modo de sigma-0 determinado por SeaWinds,,,,
,,,,,"0
008
21018
117","Tipo de superficie tierra/hielo medida por SeaWinds
Control de calidad de la variancia de sigma-0",,,,
,,,"Especificación de radar, sección representativa normalizada del radar SEAWINDS, coeficiente de variancia Kp",,,,,,,
,,321028,,,021118,Corrección de atenuación aplicada a sigma-0,,,,
,,,,,202129,Cambio de escala,,,,
,,,,,201132,Cambio de anchura de datos,,,,
,,,,,002112,Ángulo de abertura del haz radar,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,201131,Cambio de anchura de datos,,,,
,,,,,002111,Ángulo de incidencia del radar,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,002104,Polarización de la antena,,,,
,,,,,021123,Sección representativa normalizada del radar determinada por SeaWinds,,,,
,,,,,021106,Coeficiente de variancia Kp (alfa),,,,
,,,,,021107,Coeficiente de variancia Kp (beta),,,,
,,,,,021114,Coeficiente de variancia Kp (gamma),,,,
,,,,,021115,Calidad de sigma-0 determinado por SeaWinds,,,,
,,,,,021116,Modelo de sigma-0 determinado por SeaWinds,,,,
,,,,,008018,Tipo de superficie tierra/hielo medida por SeaWinds,,,,
,,,,,021117,Control de calidad de la variancia de sigma-0,,,,
,,,Información Sigma-0 ASCAT,,,,,,,
,,321030,,,008085,Identificador del haz,,,,
,,,,,202129,Cambio de escala,Aumentar la escala en 101,,,
,,,,,201131,Cambio de anchura de datos,Aumentar la anchura de datos en 3 bits,,,
,,,,,002111,Ángulo de incidencia del radar,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,002134,Azimut del haz de la antena,,,,
,,,,,021062,Retrodifusor,,,,
,,,,,021063,Resolución radiométrica (valor del ruido),,,,
,,,,,021158,Calidad de estimación de la Kp de ASCAT,,,,
,,,,,021159,Utilidad Sigma-0 ASCAT,,,,
,,,,,021160,Utilización de datos sintéticos ASCAT,,,,
,,,,,021161,Cantidad de los datos sintéticos ASCAT,,,,
,,,,,021162,Calidad de la órbita y actitud del satélite ASCAT,,,,
,,,,,021163,Contaminación de la reflexión del sistema solar ASCAT,,,,
,,,,,021164,Presencia y calidad de telemetría ASCAT,,,,
,,,,,021165,Presencia de la función de referencia extrapolada de ASCAT,,,,
,,,,,021166,Fracción de tierras,,,,
