ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,001001,Número de bloque de la OMM,Numérica,0,0,7,Numérica,0,2,,,
,,001002,Número de la estación de la OMM,Numérica,0,0,10,Numérica,0,3,,,
,,001003,Número de Región de la OMM/zona geográfica,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,001004,Subzona de la Región de la OMM,Numérica,0,0,3,Numérica,0,1,(véase la nota 9),,
,,001005,Identificador de boya/plataforma,Numérica,0,0,17,Numérica,0,5,,,
,,001006,Número de vuelo de aeronave,CCITT IA5,0,0,64,Carácter,0,8,,,
,,001007,Identificador del satélite,Tabla de cifrado,0,0,10,Tabla de cifrado,0,4,,,
,,001008,Número de matrícula de aeronave u otra identificación,CCITT IA5,0,0,64,Carácter,0,8,,,
,,001009,Tipo de avión comercial,CCITT IA5,0,0,64,Carácter,0,8,,,
,,001010,"Identificador de boya/plataforma estacionaria; por ejemplo, boyas C-MAN",CCITT IA5,0,0,64,Carácter,0,8,,,
,,001011,Identificación del buque o de la estación terrestre móvil,CCITT IA5,0,0,72,Carácter,0,9,,,
,,001012,Dirección del movimiento de la plataforma de observación*,grado verdadero,0,0,9,grado verdadero,0,3,,,
,,001013,Velocidad del movimiento de la plataforma de observación*,m s-1,0,0,10,m s-1,0,3,,,
,,001014,Velocidad de deriva de la plataforma (alta precisión),m s-1,2,0,10,m s-1,2,4,,,
,,001015,Nombre de la estación o emplazamiento,CCITT IA5,0,0,160,Carácter,0,20,,,
,,001018,Nombre abreviado de la estación o emplazamiento,CCITT IA5,0,0,40,Carácter,0,5,,,
,,001019,Nombre completo de la estación o emplazamiento,CCITT IA5,0,0,256,Carácter,0,32,,,
,,001020,Subzona de la Región de la OMM,Numérica,0,0,4,Numérica,0,2,,,
,,001021,Identificador de la característica sinóptica,Numérica,0,0,14,Numérica,0,4,,,
,,001022,Nombre de la característica,CCITT IA5,0,0,224,Carácter,0,28,(véase la nota 11),,
,,001023,Número de secuencia de observación,Numérica,0,0,9,Numérica,0,3,,,
,,001024,Fuente de la velocidad del viento,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,001025,Identificador de tormenta,CCITT IA5,0,0,24,Carácter,0,3,(véase la nota 1),,
,,001026,Nombre OMM de la tormenta+,CCITT IA5,0,0,64,Carácter,0,8,,,
,,001027,Nombre OMM completo de la tormenta,CCITT IA5,0,0,80,Carácter,0,10,,,
,,001028,Fuente del espesor óptico de los aerosoles (EOA),Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,001029,Fuente de la ISS*,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,001030,Identificación del modelo numérico,CCITT IA5,0,0,128,Tabla de cifrado,0,16,(véase la nota 13),,
,,001031,Identificación del centro de origen/ generación,Tabla de cifrado,0,0,16,Tabla de cifrado,0,5,(véase la nota 10),,
,,001032,"Aplicación de producción definida por el centro de origen/generación (véase las notas 3, 4 y 5)",Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,,,
,,001033,Identificación del centro de origen/ generación,Tabla de cifrado común C-1,0,0,8,Tabla de cifrado común C-1,0,3,,,
,,001034,Identificación del centro secundario de origen/generación,Tabla de cifrado común C-12,0,0,8,Tabla de cifrado común C-12,0,3,,,
,,001035,Centro de origen/producción,Tabla de cifrado común C-11,0,0,16,Tabla de cifrado común C-11,0,5,,,
,,001036,Organismo encargado de operar la plataforma de observación,Tabla de cifrado,0,0,20,Tabla de cifrado,0,7,,,
,,001037,Identificador de la secuencia SIGMET,CCITT IA5,0,0,24,Carácter,0,3,,,
,,001038,Fuente de la fracción de hielo marino,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,001039,Identificador de secuencia de predicción gráfica de área (GFA),CCITT IA5,0,0,40,Carácter,0,5,,,
,,001040,Código de identificación del centro de procesamiento,CCITT IA5,0,0,48,Carácter,0,6,,,
,,001041,Velocidad absoluta de la plataforma – primer componente,m s-1,5,-1073741824,31,m s-1,5,10,(véase la nota 6),,
,,001042,Velocidad absoluta de la plataforma– segundo componente,m s-1,5,-1073741824,31,m s-1,5,10,(véase la nota 6),,
,,001043,Velocidad absoluta de la plataforma – tercer componente,m s-1,5,-1073741824,31,m s-1,5,10,(véase la nota 6),,
,,001044,Aplicación de producción estándar,Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,,,
,,001050,Número de identificación del transmisor de la plataforma,Numérica,0,0,17,Numérica,0,6,,,
