FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 26 010,Horas incluidas,1,0100 incluida,,,,,
0 26 010,Horas incluidas,2,0200 incluida,,,,,
0 26 010,Horas incluidas,3,0300 incluida,,,,,
0 26 010,Horas incluidas,4,0400 incluida,,,,,
0 26 010,Horas incluidas,5,0500 incluida,,,,,
0 26 010,Horas incluidas,6,0600 incluida,,,,,
0 26 010,Horas incluidas,7,0700 incluida,,,,,
0 26 010,Horas incluidas,8,0800 incluida,,,,,
0 26 010,Horas incluidas,9,0900 incluida,,,,,
0 26 010,Horas incluidas,10,1000 incluida,,,,,
0 26 010,Horas incluidas,11,1100 incluida,,,,,
0 26 010,Horas incluidas,12,1200 incluida,,,,,
0 26 010,Horas incluidas,13,1300 incluida,,,,,
0 26 010,Horas incluidas,14,1400 incluida,,,,,
0 26 010,Horas incluidas,15,1500 incluida,,,,,
0 26 010,Horas incluidas,16,1600 incluida,,,,,
0 26 010,Horas incluidas,17,1700 incluida,,,,,
0 26 010,Horas incluidas,18,1800 incluida,,,,,
0 26 010,Horas incluidas,19,1900 incluida,,,,,
0 26 010,Horas incluidas,20,2000 incluida,,,,,
0 26 010,Horas incluidas,21,2100 incluida,,,,,
0 26 010,Horas incluidas,22,2200 incluida,,,,,
0 26 010,Horas incluidas,23,2300 incluida,,,,,
0 26 010,Horas incluidas,24,2400 incluida,,,,,
0 26 010,Horas incluidas,25,Combinación de horas desconocida,,,,,
0 26 010,Horas incluidas,Los 26,Valor faltante,,,,,
