FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 01 003,Número de Región de la OMM/zona geográfica,0,Antártida,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,1,Región I,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,2,Región II,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,3,Región III,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,4,Región IV,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,5,Región V,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,6,Región VI,,,,,
0 01 003,Número de Región de la OMM/zona geográfica,7,Valor faltante,,,,,
0 01 024,Fuente de la velocidad del viento,0,Sin datos de velocidad de viento disponibles,,,,,
0 01 024,Fuente de la velocidad del viento,1,Datos AMSR-E,,,,,
0 01 024,Fuente de la velocidad del viento,2,Datos TMI,,,,,
0 01 024,Fuente de la velocidad del viento,3,PNT: CEPMMP,,,,,
0 01 024,Fuente de la velocidad del viento,4,PNT: Oficina Meteorológica del Reino Unido,,,,,
0 01 024,Fuente de la velocidad del viento,5,PNT: NCEP,,,,,
0 01 024,Fuente de la velocidad del viento,6,Climatología de referencia,,,,,
0 01 024,Fuente de la velocidad del viento,7,Dispersómetro ERS,,,,,
0 01 024,Fuente de la velocidad del viento,8-30,Reservadas para uso futuro,,,,,
0 01 024,Fuente de la velocidad del viento,31,Valor faltante,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),0,Sin datos EOA disponibles,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),1,NESDIS,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),2,NAVOCEANO,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),3,NAAPS,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),4,MERIS,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),5,AATSR,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),6-30,Reservadas para uso futuro,,,,,
0 01 028,Fuente del espesor óptico de los aerosoles (EOA),31,Valor faltante,,,,,
0 01 029,Fuente de la ISS*,0,Sin datos de ISS disponibles,,,,,
0 01 029,Fuente de la ISS*,1,MSG SEVIRI,,,,,
0 01 029,Fuente de la ISS*,2,GOES Este,,,,,
0 01 029,Fuente de la ISS*,3,GOES Oeste,,,,,
0 01 029,Fuente de la ISS*,4,CEPMMP,,,,,
0 01 029,Fuente de la ISS*,5,NCEP,,,,,
0 01 029,Fuente de la ISS*,6,Oficina Meteorológica del Reino Unido,,,,,
0 01 029,Fuente de la ISS*,7-30,Reservadas para uso futuro,,,,,
0 01 029,Fuente de la ISS*,31,Valor faltante,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,0-36000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,36001,"Australia, Bureau of Meteorology (BoM)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,36002,"Australia, Joint Australian Facility for Ocean Observing Systems (JAFOOS)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,36003,"Australia, the Commonwealth Scientific and Industrial Research Organization (CSIRO)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,36004-124000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124001,"Canadá, Marine Environmental Data Service (MEDS) 124002 Canadá, Institute of Ocean Sciences (IOS)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124003-124172,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124173,"Canadá, Ministerio del Medio Ambiente de Canadá",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124174,"Canadá, Ministerio de Defensa Nacional",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124175,"Canadá, Nav Canada",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,124176-156000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,156001,"China, The State Oceanic Administration",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,156002,"China, Second Institute of Oceanography, State Oceanic Administration",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,156003,"China, Institute of Ocean Technology",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,156004-250000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,250001,"Francia, Institut de Recherche pour le Développement (IRD)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,250002,"Francia, Institut Français de Recherche pour l'Exploitation de la mer (IFREMER)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,250003-276000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,276001,"Alemania, Bundesamt fuer Seeschiffahrt und Hydrographie (BSH)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,276002,"Alemania, Institut fuer Meereskunde, Kiel",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,276003-356000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,356001,"India, National Institute of Oceanography (NIO)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,356002,"India, National Institute for Ocean Technology (NIOT)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,356003,"India, National Centre for Ocean Information Service",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,356004-392000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,392001,"Japón, Japan Meteorological Agency (JMA)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,392002,"Japón, Frontier Observational Research System for Global Change",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,392003,"Japón, Japan Marine Science and Technology Centre (JAMSTEC)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,392004-410000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,410001,"República de Corea, Seoul National University",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,410002,"República de Corea, Korea Ocean Research and Development Institute (KORDI)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,410003,"República de Corea, Meteorological Research Institute",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,410004-540000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,540001,"Nueva Caledonia, Institut de Recherche pour le Développement (IRD)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,540002-554000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,554001,"Nueva Zelandia, National Institute of Water and Atmospheric Research (NIWA)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,554002-643000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,643001,"Rusia, State Oceanographic Institute of Roshydromet",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,643002,"Rusia, Federal Service for Hydrometeorology and Environmental Monitoring",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,643003-724000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,724001,"España, Instituto Español de Oceanografía",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,724002-826000,Reservadas,,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,826001,"Reino Unido, Hydrographic Office",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,826002,"Reino Unido, Southampton Oceanography Centre (SOC)",,,,,
0 01 036,Organismo encargado de operar la plataforma de observación,826003-840000,Reservadas,,,,,
