FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 21 066,El equipo de proceso no funciona (Datos sobre el grado de confianza del producto del dispersómetro de onda),1,El equipo de proceso no funciona,,,,,
0 21 066,Falla en el equipo (Datos sobre el grado de confianza del producto del dispersómetro de onda),2,Falla en el equipo,,,,,
0 21 066,La clave de PRF cambió durante la generación de la imagen (Datos sobre el grado de confianza del producto del dispersómetro de onda),3,La clave de PRF cambió durante la generación de la imagen,,,,,
0 21 066,La ventana de muestreo cambió durante la generación de la imagen (Datos sobre el grado de confianza del producto del dispersómetro de onda),4,La ventana de muestreo cambió durante la generación de la imagen,,,,,
0 21 066,La ganancia cambió durante la generación de la imagen (Datos sobre el grado de confianza del producto del dispersómetro de onda),5,La ganancia cambió durante la generación de la imagen,,,,,
0 21 066,"La réplica de los impulsos modulados en frecuencia (“chirp"") excede el valor especificado (Datos sobre el grado de confianza del producto del dispersómetro de onda)",6,"La réplica de los impulsos modulados en frecuencia (“chirp"") excede el valor especificado",,,,,
0 21 066,La desviación media y la desviación típica de los datos de entrada en fase y en cuadratura caen fuera de la gama de valores (Datos sobre el grado de confianza del producto del dispersómetro de onda),7,La desviación media y la desviación típica de los datos de entrada en fase y en cuadratura caen fuera de la gama de valores,,,,,
0 21 066,Grado de confianza del punto medio Doppler > valor MMCC (Datos sobre el grado de confianza del producto del dispersómetro de onda),8,Grado de confianza del punto medio Doppler > valor MMCC,,,,,
0 21 066,Valor absoluto del punto medio Doppler > PRF/2 (Datos sobre el grado de confianza del producto del dispersómetro de onda),9,Valor absoluto del punto medio Doppler > PRF/2,,,,,
0 21 066,Grado de confianza de la ambigüedad Doppler < valor MMCC (Datos sobre el grado de confianza del producto del dispersómetro de onda),10,Grado de confianza de la ambigüedad Doppler < valor MMCC,,,,,
0 21 066,La desviación media y la desviación típica de los datos de salida ≤ valor MMCC (Datos sobre el grado de confianza del producto del dispersómetro de onda),11,La desviación media y la desviación típica de los datos de salida ≤ valor MMCC,,,,,
0 21 066,Valor faltante (Datos sobre el grado de confianza del producto del dispersómetro de onda),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Datos sobre el grado de confianza del producto de la medición del viento),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Datos sobre el grado de confianza del producto del altímetro del radar),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST)),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Datos sobre el grado de confianza del producto de la temperatura de la superficie del mar (SADIST-2)),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Estado de la calibración del altímetro del satélite),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Modo del instrumento del altímetro del satélite),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Representación de intensidades),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Calidad de la célula del vector viento medida por SeaWinds),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Calidad de sigma-0 determinada por SeaWinds),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Modo de sigma-0 determinado por SeaWinds),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Función geofísica modélica del dispersómetro de viento),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Banderín de lluvia de altímetro),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Banderín de variación en borde posterior),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Coubicación de haces),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Calidad de la célula del vector viento),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Calidad de estimación de la Kp de ASCAT),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Utilizabilidad de Sigma-0 ASCAT),Los 12,Valor faltante,,,,,
0 21 066,Valor faltante (Indicador de presencia de hielo),Los 12,Valor faltante,,,,,
0 21 067,Ningún cálculo del haz anterior (Datos sobre el grado de confianza del producto de la medición del viento),1,Ningún cálculo del haz anterior,,,,,
0 21 067,Ningún cálculo del haz medio (Datos sobre el grado de confianza del producto de la medición del viento),2,Ningún cálculo del haz medio,,,,,
0 21 067,Ningún cálculo del haz posterior (Datos sobre el grado de confianza del producto de la medición del viento),3,Ningún cálculo del haz posterior,,,,,
0 21 067,Arqueo detectado del haz anterior (Datos sobre el grado de confianza del producto de la medición del viento),4,Arqueo detectado del haz anterior,,,,,
0 21 067,Arqueo detectado del haz medio (Datos sobre el grado de confianza del producto de la medición del viento),5,Arqueo detectado del haz medio,,,,,
0 21 067,Arqueo detectado del haz posterior (Datos sobre el grado de confianza del producto de la medición del viento),6,Arqueo detectado del haz posterior,,,,,
0 21 067,Todo contenido de ruido del haz superior o igual al umbral (Datos sobre el grado de confianza del producto de la medición del viento),7,Todo contenido de ruido del haz superior o igual al umbral,,,,,
0 21 067,Tierra (toda porción de tierra en la casilla de la proyección del haz) (Datos sobre el grado de confianza del producto de la medición del viento),8,Tierra (toda porción de tierra en la casilla de la proyección del haz),,,,,
0 21 067,Supresor de ambigüedad autónoma no utilizado (Datos sobre el grado de confianza del producto de la medición del viento),9,Supresor de ambigüedad autónoma no utilizado,,,,,
0 21 067,Antecedentes meteorológicos no utilizados (Datos sobre el grado de confianza del producto de la medición del viento),10,Antecedentes meteorológicos no utilizados,,,,,
0 21 067,Umbral residual mínimo excedido (Datos sobre el grado de confianza del producto de la medición del viento),11,Umbral residual mínimo excedido,,,,,
0 21 067,Detectado error de suma de comprobación de cuadro (Datos sobre el grado de confianza del producto de la medición del viento),12,Detectado error de suma de comprobación de cuadro,,,,,
0 21 067,Detectado error de suma de comprobación de cuadro (Datos sobre el grado de confianza del producto del altímetro del radar),12,Detectado error de suma de comprobación de cuadro,,,,,
0 21 067,Valor faltante (Datos sobre el grado de confianza del producto del dispersómetro de onda),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Datos sobre el grado de confianza del producto de la medición del viento),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Datos sobre el grado de confianza del producto del altímetro del radar),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST)),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Datos sobre el grado de confianza del producto de la temperatura de la superficie del mar (SADIST-2)),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Estado de la calibración del altímetro del satélite),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Modo del instrumento del altímetro del satélite),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Representación de intensidades),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Calidad de la célula del vector viento medida por SeaWinds),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Calidad de sigma-0 determinada por SeaWinds),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Modo de sigma-0 determinado por SeaWinds),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Función geofísica modélica del dispersómetro de viento),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Banderín de lluvia de altímetro),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Banderín de variación en borde posterior),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Coubicación de haces),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Calidad de la célula del vector viento),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Calidad de estimación de la Kp de ASCAT),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Utilizabilidad de Sigma-0 ASCAT),Los 13,Valor faltante,,,,,
0 21 067,Valor faltante (Indicador de presencia de hielo),Los 13,Valor faltante,,,,,
0 21 068,Desviación típica de la velocidad del viento fuera del límite de MMCC (Datos sobre el grado de confianza del producto del altímetro del radar),1,Desviación típica de la velocidad del viento fuera del límite de MMCC,,,,,
0 21 068,Desviación típica de la altura de las olas significativas fuera del límite de MMCC (Datos sobre el grado de confianza del producto del altímetro del radar),2,Desviación típica de la altura de las olas significativas fuera del límite de MMCC,,,,,
0 21 068,Desviación típica de la altitud fuera del límite de MMCC (Datos sobre el grado de confianza del producto del altímetro del radar),3,Desviación típica de la altitud fuera del límite de MMCC,,,,,
0 21 068,Máximas (valores medios) fuera del límite de MMCC (Datos sobre el grado de confianza del producto del altímetro del radar),4,Máximas (valores medios) fuera del límite de MMCC,,,,,
0 21 068,Detectado error de suma de comprobación de cuadro (Datos sobre el grado de confianza del producto de la medición del viento),5,Detectado error de suma de comprobación de cuadro,,,,,
0 21 068,Detectado error de suma de comprobación de cuadro (Datos sobre el grado de confianza del producto del altímetro del radar),5,Detectado error de suma de comprobación de cuadro,,,,,
0 21 068,Corrección de la constante de tiempo de la curva altura-tiempo no aplicada (Datos sobre el grado de confianza del producto del altímetro del radar),6,Corrección de la constante de tiempo de la curva altura-tiempo no aplicada,,,,,
0 21 068,Mediciones insuficientes (N < 10) (Datos sobre el grado de confianza del producto del altímetro del radar),7,Mediciones insuficientes (N < 10),,,,,
0 21 068,Valor faltante (Datos sobre el grado de confianza del producto del dispersómetro de onda),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Datos sobre el grado de confianza del producto de la medición del viento),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Datos sobre el grado de confianza del producto del altímetro del radar),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST)),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Datos sobre el grado de confianza del producto de la temperatura de la superficie del mar (SADIST-2)),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Estado de la calibración del altímetro del satélite),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Modo del instrumento del altímetro del satélite),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Representación de intensidades),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Calidad de la célula del vector viento medida por SeaWinds),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Calidad de sigma-0 determinada por SeaWinds),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Modo de sigma-0 determinado por SeaWinds),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Función geofísica modélica del dispersómetro de viento),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Banderín de lluvia de altímetro),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Banderín de variación en borde posterior),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Coubicación de haces),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Calidad de la célula del vector viento),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Calidad de estimación de la Kp de ASCAT),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Utilizabilidad de Sigma-0 ASCAT),Los 8,Valor faltante,,,,,
0 21 068,Valor faltante (Indicador de presencia de hielo),Los 8,Valor faltante,,,,,
0 21 069,"Canal de 12,0 µm presente en los datos de la fuente (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",1,"Canal de 12,0 µm presente en los datos de la fuente",,,,,
0 21 069,"Canal de 11,0 µm presente en los datos de la fuente (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",2,"Canal de 11,0 µm presente en los datos de la fuente",,,,,
0 21 069,"Canal de 3,7 µm presente en los datos de la fuente (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",3,"Canal de 3,7 µm presente en los datos de la fuente",,,,,
0 21 069,"Canal de 1,6 µm presente en los datos de la fuente (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",4,"Canal de 1,6 µm presente en los datos de la fuente",,,,,
0 21 069,"Identificación de nubes utilizando prueba de nubes con histograma de factor de reflexión de 1,6 µm (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",5,"Identificación de nubes utilizando prueba de nubes con histograma de factor de reflexión de 1,6 µm",,,,,
0 21 069,"Umbral dinámico utilizando prueba de nubes con histograma de factor de reflexión de 1,6 µm (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",6,"Umbral dinámico utilizando prueba de nubes con histograma de factor de reflexión de 1,6 µm",,,,,
0 21 069,"Destello solar detectado por prueba de nubes con histograma de reflexión de 1,6 µm (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",7,"Destello solar detectado por prueba de nubes con histograma de reflexión de 1,6 µm",,,,,
0 21 069,"Canal de 3,7 µm utilizado en la recuperación de la temperatura de la superficie del mar (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",8,"Canal de 3,7 µm utilizado en la recuperación de la temperatura de la superficie del mar",,,,,
0 21 069,"Cálculo de la temperatura de la superficie del mar a partir de datos diurnos (si cero, entonces se emplean datos nocturnos) (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST))",9,"Cálculo de la temperatura de la superficie del mar a partir de datos diurnos (si cero, entonces se emplean datos nocturnos)",,,,,
0 21 069,Valor faltante (Datos sobre el grado de confianza del producto del dispersómetro de onda),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Datos sobre el grado de confianza del producto de la medición del viento),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Datos sobre el grado de confianza del producto del altímetro del radar),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST)),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Datos sobre el grado de confianza del producto de la temperatura de la superficie del mar (SADIST-2)),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Estado de la calibración del altímetro del satélite),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Modo del instrumento del altímetro del satélite),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Representación de intensidades),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Calidad de la célula del vector viento medida por SeaWinds),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Calidad de sigma-0 determinada por SeaWinds),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Modo de sigma-0 determinado por SeaWinds),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Función geofísica modélica del dispersómetro de viento),Los 10,Valor faltante,,,,,
0 21 069,Valor faltante (Banderín de lluvia de altímetro),Los 10,Valor faltante,,,,,
