Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,300002,,,000002,"Tabla A: categoría de descripción de datos, línea 1",,,,
,,,,,000003,"Tabla A: categoría de descripción de datos, línea 2",,,,
,,,"Descriptores F, X, Y por añadir o definir",,,,,,,
,,300003,,,000010,Descriptor F por añadir o definir,,,,
,,,,,000011,Descriptor X por añadir o definir,,,,
,,,,,000012,Descriptor Y por añadir o definir,,,,
,,300004,,,300003,"Descriptores F, X, Y por añadir o definir",,,,
,,,,,000013,"Nombre del elemento, línea 1",,,,
,,,,,000014,"Nombre del elemento, línea 2",,,,
,,,,,000015,Nombre de las unidades,,,,
,,,,,000016,Signo del factor de escala,,,,
,,,,,000017,Factor de escala,,,,
,,,,,000018,Signo de referencia de las unidades,,,,
,,,,,000019,Valor de referencia de las unidades,,,,
,,,,,000020,Anchura de datos del elemento,,,,
,,300010,,,300003,"Descriptores F, X, Y por añadir o definir",,,,
,,,,,101000,Repetición diferida de 1 descriptor,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,000030,Secuencia que define al descriptor,,,,
,,,Definición de la tabla de cifrado,,,,,,,
,,300015,,,000030,Secuencia de definición del descriptor,,,,
,,,,,102000,Repetición diferida de 2 descriptores,,,,
,,,,,031002,Factor ampliado de repetición diferida del,,,,
,,,,,,descriptor,,,,
,,,,,000024,Cifra de clave,,,,
,,,,,000025,Significado de la clave,,,,
,,,Definición de la tabla de banderines,,,,,,,
,,300016,,,000030,Secuencia de definición del descriptor,,,,
,,,,,102000,Repetición diferida de 2 descriptores,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,000026,Número de bit,,,,
,,,,,000027,Significado del número de bit,,,,
