ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026001,Hora principal de lectura diaria en UTC de la temperatura máxima,h,1,0,12,h,1,3,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026002,Hora principal de lectura diaria en UTC de la temperatura mínima,h,1,0,12,h,1,3,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026003,Diferencia de tiempo,min,0,-1440,12,min,0,4,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026010,Horas incluidas,Tabla de banderines,0,0,26,Tabla de banderines,0,9,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026020,Duración de la precipitación,min,0,0,11,min,0,4,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026021,Año,a,0,0,12,a,0,4,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026022,Mes,mes,0,0,4,mes,0,2,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026023,Día,d,0,0,6,d,0,2,,,
,Clase 26 — Ubicación sin coordenadas BUFR/CREX (tiempo),026030,Tiempo de integración de la medición,s,2,0,8,s,2,3,,,
