ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
Clase 13,,013 001,Humedad específica,kg kg-1,5,0,14,kg kg-1,5,5,,,
Clase 13,,013 002,Relación de mezcla,kg kg-1,5,0,14,kg kg-1,5,5,,,
Clase 13,,013 003,Humedad relativa,%,0,0,7,%,0,3,,,
Clase 13,,013 004,Presión del vapor,Pa,-1,0,10,Pa,-1,4,,,
Clase 13,,013 005,Densidad del vapor,kg m-3,3,0,7,kg m-3,3,3,,,
Clase 13,,013 006,Alturas de mezcla,m,-1,-40,16,m,-1,5,,,
Clase 13,,013 007,Humedad relativa mínima,%,0,0,7,%,0,3,,,
Clase 13,,013 008,Humedad relativa máxima,%,0,0,7,%,0,3,,,
Clase 13,,013 009,Humedad relativa,%,1,-1000,12,%,1,4,(véase la nota 6),,
Clase 13,,013 011,Precipitación total/equivalente total en agua,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 012,Espesor de la nieve recién caída,m,2,-2,12,m,2,4,,,
Clase 13,,013 013,Espesor total de la nieve,m,2,-2,16,m,2,5,,,
Clase 13,,013 014,Lluvia/equivalente en agua de nieve (valores medios),kg m-2 s-1,4,0,12,kg m-2 s-1,4,4,,,
Clase 13,,013 015,Nieve (valores medios),m s-1,7,0,12,m s-1,7,4,,,
Clase 13,,013 016,Agua precipitable,kg m-2,0,0,7,kg m-2,0,3,,,
Clase 13,,013 019,Precipitación total en el curso de la hora precedente,kg m-2,1,-1,14,kg m-2,1,4,,,
Clase 13,,013 020,Precipitación total en el curso de las 3 horas precedentes,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 021,Precipitación total en el curso de las 6 horas precedentes,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 022,Precipitación total en el curso de las 12 horas precedentes,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 023,Precipitación total en el curso de las 24 horas precedentes,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 031,Evapotranspiración,kg m-2,0,0,7,kg m-2,0,3,,,
Clase 13,,013 032,Evaporación/evapotranspiración,kg m-2,1,0,8,kg m-2,1,3,(véase la nota 5),,
Clase 13,,013 033,Evaporación/evapotranspiración,kg m-2,1,0,10,kg m-2,1,4,,,
Clase 13,,013 038,Indicador superadiabático,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
Clase 13,,013 039,Tipo de terreno (hielo/nieve),Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
Clase 13,,013 040,Banderín de superficie,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
Clase 13,,013 041,Categoría de estabilidad de Pasquill-Gifford,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
Clase 13,,013 042,Índice de elevación de una partícula (a 500 hPa) (véanse las notas 3 y 4),K,0,-20,6,K,0,2,,,
Clase 13,,013 043,Índice de elevación óptimo (a 500 hPa) (véanse las notas 3 y 4),K,0,-20,6,K,0,2,,,
Clase 13,,013 044,Índice K,K,0,-30,8,K,0,3,,,
Clase 13,,013 045,Índice KO,K,0,-30,8,K,0,3,,,
Clase 13,,013 046,Flotabilidad máxima,K,0,-30,8,K,0,3,,,
Clase 13,,013 047,Índice modificado de estabilidad de Showalter,K,0,-60,6,°C,0,2,(véase la nota 7),,
Clase 13,,013 048,Fracción de agua,%,1,0,10,%,1,4,,,
Clase 13,,013 051,"Grupo de frecuencia, precipitación",Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
Clase 13,,013 052,Cantidad máxima diaria de precipitación,kg m-2,1,-1,14,kg m-2,1,5,,,
Clase 13,,013 055,Intensidad de la precipitación,kg m-2 s-1,4,0,8,mm h-1,1,4,,,
Clase 13,,013 056,Naturaleza e intensidad de la precipitación,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
Clase 13,,013 057,Hora de comienzo o fin de la precipitación,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
Clase 13,,013 058,Tamaño del elemento de la precipitación,m,4,0,7,mm,1,3,,,
Clase 13,,013 059,Número de relámpagos (tormenta),Numérica,0,0,7,Numérica,0,3,,,
Clase 13,,013 060,Precipitación total acumulada,kg m-2,1,-10,17,kg m-2,1,5,,,
Clase 13,,013 071,Nivel del agua aguas arriba,m,2,0,14,m,2,4,,,
Clase 13,,013 072,Nivel del agua aguas abajo,m,2,0,14,m,2,4,,,
Clase 13,,013 073,Nivel máximo del agua,m,2,0,14,m,2,4,,,
Clase 13,,013 074,Nivel de agua subterránea,m,2,0,18,m,2,6,,,
Clase 13,,013 080,pH del agua,Unidades pH,1,0,10,Unidades pH,1,3,,,
Clase 13,,013 081,Conductividad del agua,S m-1,3,0,14,S m-1,3,4,,,
Clase 13,,013 082,Temperatura del agua,K,1,0,12,K,1,4,,,
Clase 13,,013 083,Oxígeno disuelto,kg m-3,6,0,15,kg m-3,6,5,,,
Clase 13,,013 084,Turbiedad,Lumen,0,0,14,Lumen,0,4,,,
Clase 13,,013 085,Potencial de reducción de oxidación (ORP),V,3,0,14,V,3,4,,,
Clase 13,,013 090,Contenido en vapor de agua radiométrico,kg m-2,1,0,10,kg m-2,1,4,,,
Clase 13,,013 091,Contenido líquido radiométrico,kg m-2,2,0,8,kg m-2,2,3,,,
Clase 13,,013 093,Espesor óptico de la nube,Numérica,0,0,8,Numérica,0,3,,,
Clase 13,,013 095,Vapor de agua total en columna,kg m-2,4,0,19,kg m-2,4,6,,,
Clase 13,,013 096,Contenido de vapor de agua según MWR,kg m-2,2,0,14,kg m-2,2,5,,,
Clase 13,,013 097,Contenido de agua líquida según MWR,kg m-2,2,0,14,kg m-2,2,5,,,
Clase 13,,013 098,Densidad de vapor de agua integrada,kg m-2,8,0,30,kg m-2,8,10,,,
Clase 13,,013 099,Log10 de la densidad de partículas de nube integrada,log(m-2),1,0,7,log(m-2),1,3,,,
Clase 13,,013 100,Log10 del área de partículas de nube integrada,log(m² m-2),1,-70,7,log(m² m-2),1,2,,,
Clase 13,,013 101,Log10 del volumen de partículas de nube integrado,log(m³ m-2),1,-140,7,log(m³ m-2),1,3,,,
Clase 13,,013 109,Trayectoria del agua helada/líquida,kg m-2,3,0,10,kg m-2,3,4,,,
Clase 13,,013 110,Cociente de mezclado de masa,%,0,0,7,%,0,3,,,
Clase 13,,013 111,Humedad del suelo,g kg-1,0,0,10,g kg-1,0,4,,,
Clase 13,,013 112,Duración de la humedad del objeto,s,0,0,17,s,0,5,,,
Clase 13,,013 114,Tasa de acreción de hielo,kg m-2 h-1,1,0,11,kg m-2 h-1,1,4,,,
Clase 13,,013 115,Espesor del hielo,m,2,0,19,m,2,6,(véase la nota 9),,
Clase 13,,013 116,Espesor de la lámina de agua,m,4,0,10,m,3,2,,,
Clase 13,,013 117,Densidad de la nieve (contenido de agua líquida),kg m-3,0,0,10,kg m-3,0,3,,,
Clase 13,,013 118,Espesor de nieve fresca (gran precisión),m,3,-2,14,m,3,5,(véase la nota 10),,
Clase 13,,013 155,Intensidad de la precipitación (gran precisión),kg m-2 s-1,5,-1,16,mm h-1,1,5,(véase la nota 8),,
Clase 13,,013 160,Contenido líquido radiométrico,kg m-2,2,-350,10,kg m-2,2,3,,,
Clase 13,,013 162,Agua líquida en la nube,kg m-2,2,0,8,kg m-2,2,3,,,
Clase 13,,013 163,Equivalente en agua de la nieve,kg m-2,0,0,16,kg m-2,0,5,,,
Clase 13,,013 164,Francobordo del hielo marino,m,3,-131072,18,m,3,6,,,
