Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,,"Profundidad, temperatura",,,,,,,
,,306001,,,002032,Indicador de digitalización,,,,
,,,,,102000,Repetición diferida de 2 descriptores,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,007062,Profundidad por debajo de la superficie del mar/ agua,,,,
,,,,,022042,Temperatura del mar/agua,,,,
,,,Corriente,,,,,,,
,,306002,,,002031,Duración y hora de medición de la corriente,,,,
,,,,,022004,Dirección de la corriente,,,,
,,,,,022031,Velocidad de la corriente,,,,
,,,Viento de superficie y temperatura,,,,,,,
,,306003,,,002002,Tipo de instrumentos para la medición del viento,,,,
,,,,,011011,Dirección del viento a 10 m,,,,
,,,,,011012,Velocidad del viento a 10 m,,,,
,,,,,012004,Temperatura del aire a 2 m,,,,
,,,"Profundidad, temperatura, salinidad",,,,,,,
,,306004,,,002032,Indicador de digitalización,,,,
,,,,,002033,Método de medición de la salinidad/profundidad,,,,
,,,,,103000,Repetición diferida de 3 descriptores,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,007062,Profundidad por debajo de la superficie del mar/ agua,,,,
,,,,,022043,Temperatura del mar/agua,,,,
,,,,,022062,Salinidad,,,,
,,306005,,,002031,Duración y hora de medición de la corriente,,,,
,,,,,103000,Repetición diferida de 3 descriptores,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,007062,Profundidad por debajo de la superficie del mar/ agua,,,,
,,,,,022004,Dirección de la corriente,,,,
,,,,,022031,Velocidad de la corriente,,,,
,,,Parámetros (facultativos) sobre sondeos subacuáticos,,,,,,,
,,306006,,,306003,Viento y temperatura de superficie,,,,
,,,,,306002,Corriente,,,,
,,,,,022063,Profundidad total del agua,,,,
,,,Parámetros del bloque de reserva para boyas,,,,,,,
,,306007,,,001012,Dirección del movimiento de la plataforma de observación,,,,
,,,,,001014,Velocidad de deriva de la plataforma (gran precisión),,,,
,,,,,306008,Parámetros de los instrumentos de las boyas,,,,
,,,,,004024,Período o desplazamiento de tiempo,,,,
,,,,,027003,Latitud alterna (precisión aproximada),,,,
,,,,,028003,Longitud alterna (precisión aproximada),,,,
,,,Parámetros de los instrumentos de las boyas,,,,,,,
,,306008,,,002034,Tipo de ancla flotante,,,,
,,,,,002035,Longitud del cable,,,,
,,,,,002036,Tipo de boya,,,,
,,,"Secuencia para la representación de identificación de la estación de observación de mareas, método de transmisión, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal",,,,,,,
,,306011,,,301021,Latitud/longitud (gran exactitud),,,,
,,,,,001075,Identificación de la estación de observación de mareas,Identificación alfanumérica (5 caracteres),,,
,,,,,002147,Método de transmisión al centro de recopilación,,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301013,"Hora, minuto, segundo",,,,
,,,"Secuencia para la representación del tipo de sensor, calificador significativo del sensor y estado de funcionamiento",,,,,,,
,,306012,,,002007,Tipo de sensor del instrumento de medición del nivel de agua,,,,
,,,,,008015,Calificador significativo del sensor,,,,
,,,,,008032,Estado de funcionamiento,,,,
,,,,,306029,Secuencia para la representación de información sobre el muestreo del tsunámetro respecto de las alturas de la columna de agua en el informe de la serie temporal,,,,
,,,Secuencia para la representación del nivel y residuo de agua en la serie temporal,,,,,,,
,,306013,,,306012,"Secuencia para la representación del tipo de sensor, calificador significativo del sensor y estado de funcionamiento",,,,
,,,,,301011,"Año, mes, día",Fecha de referencia para la serie temporal,,,
,,,,,301013,"Hora, minuto, segundo",Hora de referencia para la serie temporal,,,
,,,,,022120,Verificación automática del nivel del agua en una estación de mareas,,,,
,,,,,022121,Verificación manual del nivel del agua en una estación de mareas,,,,
,,,,,004015,Incremento de tiempo,Añadido para inicializar la hora de referencia,,,
,,,,,004065,Incremento de tiempo abreviado,Añadido a cada valor de datos de la serie temporal,,,
,,,,,102000,Repetición diferida de 2 descriptores,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,,,022040,Altura residual meteorológica de las mareas (positiva o negativa),,,,
,,,"Secuencia para la representación del nivel de agua en la serie temporal, similar a 3 06 013, pero sin residuos",,,,,,,
,,306014,,,306012,"Secuencia para la representación del tipo de sensor, calificador significativo del sensor y estado de funcionamiento",,,,
,,,,,301011,"Año, mes, día",Fecha de referencia para la serie temporal,,,
,,,,,301013,"Hora, minuto, segundo",Hora de referencia para la serie temporal,,,
,,,,,022120,Verificación automática del nivel del agua en una estación de mareas,,,,
,,,,,022121,verificación manual del nivel del agua en una estación de mareas,,,,
,,,,,004015,Incremento de tiempo,Añadido para inicializar la hora de referencia,,,
,,,,,004065,Incremento de tiempo abreviado,Añadido a cada valor de datos de la serie temporal,,,
,,,,,101000,Repetición diferida de 1 descriptor,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,Secuencia para la representación de datos meteorológicos complementarios asociados con datos sobre el nivel de agua,,,,,,,
,,306016,,,301011,"Año, mes, día",Fecha de referencia para la serie temporal,,,
,,,,,301013,"Hora, minuto, segundo",Hora de referencia para la serie temporal,,,
,,,,,010004,Presión,Nivel de la estación,,,
,,,,,010051,Presión reducida al nivel medio del mar,,,,
,,,,,302032,Datos de temperatura y humedad,,,,
,,,,,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),,,,
,,,,,002002,Tipo de instrumentos para la medición del viento,,,,
,,,,,008021,Significación temporal,= 2 promediada en el tiempo,,,
,,,,,004025,Período o desplazamiento de tiempo,"P. ej. = 1 para 1 minuto,",,,
,,,,,,,= 10 para 10 minutos,,,
,,,,,011001,Dirección del viento,,,,
,,,,,011002,Velocidad del viento,,,,
,,,,,004025,Período o desplazamiento de tiempo,En minutos,,,
,,,,,011043,Dirección máxima de las ráfagas de viento,,,,
,,,,,011041,Velocidad máxima de las ráfagas de viento,,,,
,,,,,025026,Voltaje de la batería (intervalo amplio),Voltaje de la batería de la EMA,,,
,,,,,012060,Temperatura interna del recinto de la EMA,,,,
,,,Perfil de la temperatura subsuperficial (gran exactitud/ precisión) con banderines de calidad,,,,,,,
,,306017,,,002032,Indicador de digitalización,= 0 profundidades fijas del sensor,,,
,,,,,008034,Calificador de medición de la temperatura/salinidad,,,,
,,,,,106000,Repetición diferida de 6 descriptores,,,,
,,,,,031002,Factor ampliado de repetición diferida del descriptor,Número de profundidades,,,
,,,,,007065,Presión del agua,En Pa,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022045,Temperatura del mar/agua,En K con tres decimales,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,008034,Calificador de medición de la temperatura/salinidad,Fijar en faltante (anular),,,
,,,Perfil de la temperatura subsuperficial (gran exactitud/ precisión) con banderines de calidad,,,,,,,
,,306018,,,002032,Indicador de digitalización,= 0 profundidades fijas del sensor,,,
,,,,,008034,Calificador de medición de la temperatura/salinidad,,,,
,,,,,109000,Repetición diferida de 9 descriptores,,,,
,,,,,031002,Factor ampliado de repetición diferida del descriptor,Número de profundidades,,,
,,,,,007065,Presión del agua,En Pa,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022045,Temperatura del mar/agua,En K con tres decimales,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022064,Salinidad,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,008034,Calificador de medición de la temperatura/salinidad,Fijar en faltante (anular),,,
,,,"Identificación del informe sobre mareas, verificaciones del nivel del agua, incrementos de tiempo",,,,,,,
,,306019,,,001075,Identificación de la estación de observación de mareas,Alfanumérica,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,,,022042,Temperatura del agua/mar,,,,
,,,,,022120,Verificación automática del nivel del agua en una estación de mareas,,,,
,,,,,022121,Verificación manual del nivel del agua en una estación de mareas,,,,
,,,,,004015,Incremento de tiempo (véase la nota 1),Minutos,,,
,,,,,004065,Incremento de tiempo abreviado,,,,
,,,"Identificación del informe sobre mareas, verificaciones del nivel del agua, período o desplazamiento de tiempo, incremento de tiempo) (Véase la nota 2",,,,,,,
,,306020,,,001075,Identificación de la estación de observación de mareas,Alfanumérica,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,,,022042,Temperatura del mar/agua,,,,
,,,,,022120,Verificación automática del nivel del agua en una estación de mareas,,,,
,,,,,022121,Verificación manual del nivel del agua en una estación de mareas,,,,
,,,,,004075,Período o desplazamiento de tiempo abreviado,,,,
,,,,,004065,Incremento de tiempo abreviado,,,,
,,,Parámetros meteorológicos en la estación de observación de mareas,,,,,,,
,,306021,,,001075,Identificación de la estación de observación de mareas,Alfanumérica,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,,,022122,Verificación automática de los datos meteorológicos en una estación de mareas,,,,
,,,,,022123,Verificación manual de los datos meteorológicos en una estación de mareas,,,,
,,,,,012001,Temperatura/temperatura del aire,,,,
,,,,,303002,Viento al nivel de la presión,,,,
,,,Altura de la marea,,,,,,,
,,306022,,,001075,Identificación de la estación de mareas,,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,,,022039,Altura residual meteorológica de las mareas (positiva o negativa),,,,
,,306023,,,001015,Nombre de la estación o emplazamiento,,,,
,,,,,301023,Latitud/longitud (precisión aproximada),,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,,,022039,Altura residual meteorológica de las mareas (positiva o negativa),,,,
,,,,,022120,Verificación automática del nivel del agua en una estación de mareas,,,,
,,,,,022121,Verificación manual del nivel del agua en una estación de mareas,,,,
,,,Series sobre la altura de las mareas) (Véase la nota 3,,,,,,,
,,306024,,,306020,"Identificación del informe sobre las mareas, verificaciones del nivel del agua, período o desplazamiento de tiempo, incremento de tiempo",,,,
,,,,,102006,Repetir 2 descriptores 6 veces,,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,,,022039,Altura residual meteorológica de las mareas (positiva o negativa),,,,
,,,Series sobre la altura de las mareas,,,,,,,
,,306025,,,306019,"Identificación del informe sobre las mareas, verificaciones del nivel del agua, incrementos de tiempo",,,,
,,,,,102006,Repetir 2 descriptores 6 veces,,,,
,,,,,022038,Altura de las mareas con relación al cero hidrográfico local,,,,
,,,,,022039,Altura residual meteorológica de las mareas,,,,
,,,positiva o negativa,,,,,,,
,,,"Secuencia para la representación de identificadores de boya DART, identificación de transmisor, tipo de tsunámetro y hora en que el mensaje es transmitido al sistema terreno",,,,,,,
,,306027,,,001005,Identificador de boya/plataforma,,,,
,,,,,001052,Identificador del transmisor de la plataforma,,,,
,,,,,002047,Tipo de tsunámetro para niveles profundos del océano,,,,
,,,,,301011,"Año, mes, día",Hora en que el mensaje es transmitido al sistema terreno,,,
,,,,,301013,"Hora, minuto, segundo",,,,
,,,Secuencia para la representación de la hora de observación y de informes diarios de posición de boyas DART,,,,,,,
,,306 028,,,306027,"Secuencia para la representación de identificadores de boya DART, identificación del transmisor, tipo tsunámetro y hora en que el mensaje es transmitido al sistema terreno",,,,
,,,,,301011,"Año, mes, día",Hora de observación,,,
,,,,,301013,"Hora, minuto, segundo",,,,
,,,,,301021,Latitud/longitud (gran exactitud),,,,
,,,Secuencia para la representación de información sobre el muestreo del tsunámetro respecto de las alturas de la columna de agua en el informe de la serie temporal,,,,,,,
,,306 029,,,025170,Intervalo de muestreo (tiempo),Segundos,,,
,,,,,0251171,Período de promediación de la muestra,Segundos,,,
,,,,,025172,Número de muestras,,,,
,,,Secuencia para la representación de informes horarios estándar de boyas DART,,,,,,,
,,306 030,,,306027,"Secuencia para la representación de identificadores de boya DART, identificación del transmisor, tipo de tsunámetro y hora en que el mensaje es transmitido al sistema terreno",,,,
,,3,,,06029,Secuencia para la representación de información sobre el muestreo del tsunámetro respecto de las alturas de la columna de agua en el informe de la serie temporal,,,,
,,1,,,11000,Repetición diferida de 11 descriptores,,,,
,,0,,,31001,Factor de repetición diferida del descriptor,,,,
,,0,,,33002,Información sobre la calidad,Situación del mensaje,,,
,,3,,,01011,"Año, mes, día",Fecha/hora de referencia de la serie temporal,,,
,,3,,,01013,"Hora, minuto, segundo",,,,
,,0,,,25025,Voltaje de la batería,CPU del BPR,,,
,,0,,,25025,Voltaje de la batería,DSP del módem acústico,,,
,,0,,,25026,Voltaje de la batería (intervalo amplio),Módem acústico,,,
,,0,,,22185,Recuento de transmisiones del BPR,,,,
,,0,,,04015,Incremento de tiempo,Añadido para reinicializar la hora de referencia,,,
,,,,,004065,Incremento de tiempo abreviado,Añadido a cada valor de datos de la serie temporal,,,
,,,,,101004,Repetir 1 descriptor 4 veces,,,,
,,,,,022182,Altura de la columna de agua,,,,
,,,Secuencia para la representación de informes de tsunamis mediante boyas DART y de informes de tsunami ampliados,,,,,,,
,,306031,,,306027,"Secuencia para la representación de identificadores de boya DART, identificación del transmisor, tipo de tsunámetro y hora en que el mensaje es transmitido al sistema terreno",,,,
,,,,,306029,Secuencia para la representación de información sobre el muestreo del tsunámetro respecto de las alturas de la columna de agua en el informe de la serie temporal,,,,
,,,,,001053,Número de secuencia del informe de tsunámetro desencadenado por un tsunami,,,,
,,,,,033002,Información sobre la calidad,Situación del mensaje,,,
,,,,,301011,"Año, mes, día",Hora de detección del tsunami,,,
,,,,,301013,"Hora, minuto, segundo",,,,
,,,,,301011,"Año, mes, día",Fecha/hora de referencia de la serie temporal,,,
,,,,,301013,"Hora, minuto, segundo",,,,
,,,,,022185,Recuento de transmisiones del BPR,,,,
,,,,,022182,Altura de la columna de agua,Determinación del valor real notificado en la serie temporal,,,
,,,,,004016,Incremento de tiempo,Añadido para reinicializar la hora de referencia,,,
,,,,,004066,Incremento de tiempo abreviado,Añadido a cada valor de datos de la serie temporal,,,
,,,,,101000,Repetición diferida de 1 descriptor,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,022184,Desviación de la altura de la columna de agua respecto del valor de referencia,,,,
,,,Salinidad de la superficie,,,,,,,
,,306033,,,002033,Método de medición de la salinidad/profundidad,,,,
,,,,,007063,Profundidad por debajo de la superficie del mar/ agua (cm),,,,
,,,,,022064,Salinidad,,,,
,,,Corriente en la superficie,,,,,,,
,,306034,,,002031,Duración y hora de medición de la corriente,,,,
,,,,,003010,Método de medición de la corriente de mar/agua,,,,
,,,,,002040,Método para eliminar los efectos de la velocidad y del movimiento de la plataforma en la medición de la corriente,,,,
,,,,,022005,Dirección de la corriente en la superficie de mar,,,,
,,,,,022032,Velocidad de la corriente en la superficie del mar,,,,
,,,Perfil de temperatura y salinidad,,,,,,,
,,306035,,,112000,Repetición diferida de 12 descriptores,,,,
,,,,,031002,Factor ampliado de repetición diferida del descriptor,,,,
,,,,,007062,Profundidad por debajo de la superficie del mar/ agua,En metros,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 13 profundidad a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,007065,Presión del agua,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 10 presión a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022043,Temperatura del mar/agua,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 11 temperatura a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022064,Salinidad,= 12 salinidad a un nivel dado,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,Perfil de la corriente,,,,,,,
,,306036,,,112000,Repetición diferida de 12 descriptores,,,,
,,,,,031002,Factor ampliado de repetición diferida del descriptor,,,,
,,,,,007062,Profundidad por debajo de la superficie del mar/ agua,En metros,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 13 profundidad a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,007065,Presión del agua,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 10 presión a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022031,Velocidad de la corriente,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 14 velocidad de la corriente a un nivel dado,,,
,,,,,033050,Banderín de calidad mundial del GTSPP,,,,
,,,,,022004,Dirección de la corriente,,,,
,,,,,008080,Calificador del banderín de calidad del GTSPP,= 15 dirección de la corriente a un nivel dado,,,
