TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 001,3 01 043,"Indicateur d'identification du satellite, méthode de calcul du vent, date/heure, position",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 001,3 04 001,"Pression au sommet des nuages, température, vent",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 002,3 01 043,"Indicateur d'identification du satellite, méthode de calcul du vent, date/heure, position",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 002,3 04 002,"Pression au sommet des nuages, vent",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 003,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 003,3 04 003,Température en surface,
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 004,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 004,3 04 004,"Pression au sommet des nuages, nébulosité, température",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 005,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 005,0 20 014,Hauteur du sommet des nuages,
Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),3 12 006,3 01 044,"Indicateur d'identification du satellite, méthode de calcul de l'humidité, date/heure, position",
