TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,3 01 051,"(Comptes rendus d'aéronef) Numéro de vol, système de navigation, date/heure, position, phase de vol",ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 07 002,Hauteur ou altitude,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 12 001,Température/température de l'air,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 11 001,Direction du vent,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 11 002,Vitesse du vent,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 11 031,Degré de turbulence,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 11 032,Hauteur de la base de la turbulence,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 11 033,Hauteur du sommet de la turbulence,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 001,0 20 041,Givrage d'aéronef,ASDAR
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 002,3 01 065,(Messages ACARS) Identification du message ACARS,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 002,3 01 066,Position concernant les messages ACARS,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 002,3 11 003,Variables ACARS standard transmises,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 002,3 11 004,Variables ACARS supplémentaires transmises,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 003,0 10 070,(Variables ACARS standard transmises) Altitude de l'aéronef indiquée,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 003,0 11 001,Direction du vent,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 003,0 11 002,Vitesse du vent,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 003,0 12 001,Température/température de l'air,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 003,0 13 002,Rapport de mélange,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,1 01 000,(Variables ACARS supplémentaires transmises) Répétition différée de 1 descripteur,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,0 31 000,Facteur de répétition légèrement différée du descripteur,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,0 11 034,Vitesse des rafales verticales,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,1 01 000,Répétition différée de 1 descripteur,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,0 31 000,Facteur de répétition légèrement différée du descripteur,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,0 11 035,Accélération des rafales verticales,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,1 01 000,Répétition différée de 1 descripteur,
Catégorie 11 — Séquences correspondant à des messages d'observation à un seul niveau (données classiques),3 11 004,0 31 000,Facteur de répétition légèrement différée du descripteur,
