TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Table D/02 BUFR,3 02 056,0 02 038,(Température de la mer/de l'eau) Méthode de mesure de la température et/ou de la salinité de l'eau,Mesure de la température de surface de la mer,
Table D/02 BUFR,3 02 056,0 07 063,Profondeur sous la surface de la mer/ de l'eau (cm),,
Table D/02 BUFR,3 02 056,0 22 043,Température de la mer/de l'eau,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 056,0 07 063,Profondeur sous la surface de la mer/ de l'eau (cm),,
Table D/02 BUFR,3 02 057,3 02 056,(Données océanographiques depuis le navire) Température de la mer/de l'eau,"Température de surface de la mer, méthode de mesure et profondeur sous la surface",
Table D/02 BUFR,3 02 057,3 02 021,Vagues,,
Table D/02 BUFR,3 02 057,3 02 024,Vagues de la mer du vent et de la houle,,
Table D/02 BUFR,3 02 058,0 07 032,(Données sur les températures extrêmes depuis le navire) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la température,
Table D/02 BUFR,3 02 058,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mesure de la température,
Table D/02 BUFR,3 02 058,0 04 024,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 058,0 04 024,Période ou décalage dans le temps (voir notes 1 et 2),Échelle: 2,
Table D/02 BUFR,3 02 058,0 12 111,"Température maximale, à une hauteur et sur une période déterminées",,
Table D/02 BUFR,3 02 058,0 04 024,Période ou décalage dans le temps,Échelle: 2,
Table D/02 BUFR,3 02 058,0 04 024,Période ou décalage dans le temps (voir note 2),,
Table D/02 BUFR,3 02 058,0 12 112,"Température minimale, à une hauteur et sur une période déterminées",,
Table D/02 BUFR,3 02 059,0 07 032,(Données sur le vent depuis le navire) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure du vent,
Table D/02 BUFR,3 02 059,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mesure du vent,
Table D/02 BUFR,3 02 059,0 02 002,Type d'instrument pour la mesure du vent,,
Table D/02 BUFR,3 02 059,0 08 021,Caractéristique temporelle,"= 2 Moyenne sur une certaine période = -10 minutes, ou nombre de minutes après un changement significatif du vent",
Table D/02 BUFR,3 02 059,0 04 025,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 059,0 11 001,Direction du vent,Mis à valeur manquante,
Table D/02 BUFR,3 02 059,0 11 002,Vitesse du vent,,
Table D/02 BUFR,3 02 059,0 08 021,Caractéristique temporelle,,
Table D/02 BUFR,3 02 059,1 03 002,Répéter 3 descripteurs 2 fois,Minutes,
Table D/02 BUFR,3 02 059,0 04 025,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 059,0 11 043,Direction de la rafale maximale,,
Table D/02 BUFR,3 02 059,0 11 041,Vitesse de la rafale maximale,,
Table D/02 BUFR,3 02 060,3 02 038,(Données «pour la période» depuis le navire) Temps présent et temps passé,,
Table D/02 BUFR,3 02 060,3 02 040,Mesure des précipitations,,
Table D/02 BUFR,3 02 060,3 02 058,Données sur les températures extrêmes depuis le navire,,
Table D/02 BUFR,3 02 060,3 02 059,Données sur le vent depuis le navire,,
Table D/02 BUFR,3 02 062,0 25 188,(Données «instantanées» depuis le navire) Méthode employée pour ramener la pression au niveau de la mer,,
Table D/02 BUFR,3 02 062,3 02 001,Pression et variation de pression en 3 heures,,
Table D/02 BUFR,3 02 062,3 02 093,Données supplémentaires sur la température et l'humidité depuis le navire,,
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 062,3 02 053,Données sur la visibilité depuis le navire,,
Table D/02 BUFR,3 02 062,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/02 BUFR,3 02 062,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 004,Information générale sur les nuages,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 005,Couche nuageuse,,
Table D/02 BUFR,3 02 062,0 08 002,Caractéristique verticale (observations en surface),,
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 055,Givrage et glace,,
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 056,Température de la mer/de l'eau,,
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 021,Vagues,,
Table D/02 BUFR,3 02 062,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 062,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 062,3 02 024,Vagues de la mer du vent et de la houle,,
Table D/02 BUFR,3 02 063,3 02 038,(Données «pour la période» depuis le navire) Temps présent et temps passé,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 063,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 063,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 063,3 02 040,Mesure des précipitations,,
Table D/02 BUFR,3 02 063,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 063,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 063,3 02 034,Précipitations sur les 24 heures écoulées,,
Table D/02 BUFR,3 02 063,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/02 BUFR,3 02 063,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 063,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 063,3 02 058,Données sur les températures extrêmes depuis le navire,,
Table D/02 BUFR,3 02 063,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 063,0 31 000,Facteur de répétition légèrement différée du descripteur,,
Table D/02 BUFR,3 02 063,3 02 064,Données sur le vent depuis le navire ou la plate-forme marine,,
Table D/02 BUFR,3 02 064,0 07 032,(Données sur le vent depuis le navire ou la plate-forme marine) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),= 2 Moyenne sur une certaine période,
Table D/02 BUFR,3 02 064,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,,
Table D/02 BUFR,3 02 064,0 02 002,Type d'instrument pour la mesure du vent,,
Table D/02 BUFR,3 02 064,0 08 021,Caractéristique temporelle,,
Table D/02 BUFR,3 02 064,0 04 025,Période ou décalage dans le temps,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 064,0 11 001,Direction du vent,,
Table D/02 BUFR,3 02 064,0 11 002,Vitesse du vent,,
Table D/02 BUFR,3 02 064,0 08 021,Caractéristique temporelle,,
Table D/02 BUFR,3 02 064,1 03 000,Répétition différée de 3 descripteurs,,
Table D/02 BUFR,3 02 064,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 064,0 04 025,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 064,0 11 043,Direction de la rafale maximale,,
Table D/02 BUFR,3 02 064,0 11 041,Vitesse de la rafale maximale,,
