TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,3 01 011,"Année, mois, jour",
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 04 004,Heure,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,3 01 023,Latitude/longitude (faible précision),
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 01 021,Indicateur d'identification de la caractéristique synoptique,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 02 041,Méthode d'estimation utilisée pour les comptes rendus relatifs aux caractéristiques synoptiques,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 19 001,Type de la caractéristique synoptique,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 10 051,Pression ramenée au niveau moyen de la mer,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 19 002,Rayon réel de la caractéristique,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 19 003,Seuil de la vitesse du vent,Généralement 15 m s-1
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 001,0 19 004,Rayon réel pour les vitesses du vent supérieures au seuil,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 08 021,(En-tête) Caractéristique temporelle,Heure d'analyse de données
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 001,Année,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 002,Mois,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 003,Jour,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 004,Heure,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 005,Minute,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 01 033,Identification du centre d'origine/ de production,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 08 021,Caractéristique temporelle,Période de validité (prévision)
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 001,Année,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 002,Mois,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 003,Jour,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 004,Heure,
Catégorie 16 – Séquences correspondant à des caractéristiques synoptiques,3 16 002,0 04 005,Minute,
