TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 01 007,(METOP/GOME-2) Indicateur d'identification du satellite,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 02 019,Instruments satellitaires,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 001,Année,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 002,Mois,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 003,Jour,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 004,Heure,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 005,Minute,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 04 006,Seconde,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 05 001,Latitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 06 001,Longitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 27 001,Latitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 28 001,Longitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 27 001,Latitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 28 001,Longitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 27 001,Latitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 28 001,Longitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 27 001,Latitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 28 001,Longitude (précision élevée),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 10 001,Hauteur de la surface terrestre,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 14 019,Albédo de la surface,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 07 025,Distance zénithale du soleil,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 10 080,Distance zénithale de la visée,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 05 023,Différence d'azimut entre le soleil et le satellite,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 20 010,Nébulosité (totale),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 08 003,Caractéristique verticale (observations par satellite),
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 07 004,Pression,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 14 026,Albédo au sommet des nuages,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 20 014,Hauteur du sommet des nuages,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 13 093,Épaisseur optique des nuages,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,1 05 000,Répétition différée de 5 descripteurs,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 07 004,Pression,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 07 004,Pression,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 08 043,Type de constituants chimiques ou physiques de l'atmosphère,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 08 044,Numéro d'enregistrement CAS,
Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,3 22 028,0 15 021,Densité de masse intégrée,
